shortTitle,title,directory,filename
District 1A,Maryland House of Delegates District 1A,content/state-house/district-1a,_index.md
District 1B,Maryland House of Delegates District 1B,content/state-house/district-1b,_index.md
District 1C,Maryland House of Delegates District 1C,content/state-house/district-1c,_index.md
District 2A,Maryland House of Delegates District 2A,content/state-house/district-2a,_index.md
District 2B,Maryland House of Delegates District 2B,content/state-house/district-2b,_index.md
District 3A,Maryland House of Delegates District 3A,content/state-house/district-3a,_index.md
District 3B,Maryland House of Delegates District 3B,content/state-house/district-3b,_index.md
District 4,Maryland House of Delegates District 4,content/state-house/district-4,_index.md
District 5,Maryland House of Delegates District 5,content/state-house/district-5,_index.md
District 6,Maryland House of Delegates District 6,content/state-house/district-6,_index.md
District 7,Maryland House of Delegates District 7,content/state-house/district-7,_index.md
District 8,Maryland House of Delegates District 8,content/state-house/district-8,_index.md
District 9A,Maryland House of Delegates District 9A,content/state-house/district-9a,_index.md
District 9B,Maryland House of Delegates District 9B,content/state-house/district-9b,_index.md
District 10,Maryland House of Delegates District 10,content/state-house/district-10,_index.md
District 11,Maryland House of Delegates District 11,content/state-house/district-11,_index.md
District 12,Maryland House of Delegates District 12,content/state-house/district-12,_index.md
District 13,Maryland House of Delegates District 13,content/state-house/district-13,_index.md
District 14,Maryland House of Delegates District 14,content/state-house/district-14,_index.md
District 15,Maryland House of Delegates District 15,content/state-house/district-15,_index.md
District 16,Maryland House of Delegates District 16,content/state-house/district-16,_index.md
District 17,Maryland House of Delegates District 17,content/state-house/district-17,_index.md
District 18,Maryland House of Delegates District 18,content/state-house/district-18,_index.md
District 19,Maryland House of Delegates District 19,content/state-house/district-19,_index.md
District 20,Maryland House of Delegates District 20,content/state-house/district-20,_index.md
District 21,Maryland House of Delegates District 21,content/state-house/district-21,_index.md
District 22,Maryland House of Delegates District 22,content/state-house/district-22,_index.md
District 23A,Maryland House of Delegates District 23A,content/state-house/district-23a,_index.md
District 23B,Maryland House of Delegates District 23B,content/state-house/district-23b,_index.md
District 24,Maryland House of Delegates District 24,content/state-house/district-24,_index.md
District 25,Maryland House of Delegates District 25,content/state-house/district-25,_index.md
District 26,Maryland House of Delegates District 26,content/state-house/district-26,_index.md
District 27A,Maryland House of Delegates District 27A,content/state-house/district-27a,_index.md
District 27B,Maryland House of Delegates District 27B,content/state-house/district-27b,_index.md
District 27C,Maryland House of Delegates District 27C,content/state-house/district-27c,_index.md
District 28,Maryland House of Delegates District 28,content/state-house/district-28,_index.md
District 29A,Maryland House of Delegates District 29A,content/state-house/district-29a,_index.md
District 29B,Maryland House of Delegates District 29B,content/state-house/district-29b,_index.md
District 29C,Maryland House of Delegates District 29C,content/state-house/district-29c,_index.md
District 30A,Maryland House of Delegates District 30A,content/state-house/district-30a,_index.md
District 30B,Maryland House of Delegates District 30B,content/state-house/district-30b,_index.md
District 31A,Maryland House of Delegates District 31A,content/state-house/district-31a,_index.md
District 31B,Maryland House of Delegates District 31B,content/state-house/district-31b,_index.md
District 32,Maryland House of Delegates District 32,content/state-house/district-32,_index.md
District 33,Maryland House of Delegates District 33,content/state-house/district-33,_index.md
District 34A,Maryland House of Delegates District 34A,content/state-house/district-34a,_index.md
District 34B,Maryland House of Delegates District 34B,content/state-house/district-34b,_index.md
District 35A,Maryland House of Delegates District 35A,content/state-house/district-35a,_index.md
District 35B,Maryland House of Delegates District 35B,content/state-house/district-35b,_index.md
District 36,Maryland House of Delegates District 36,content/state-house/district-36,_index.md
District 37A,Maryland House of Delegates District 37A,content/state-house/district-37a,_index.md
District 37B,Maryland House of Delegates District 37B,content/state-house/district-37b,_index.md
District 38A,Maryland House of Delegates District 38A,content/state-house/district-38a,_index.md
District 38B,Maryland House of Delegates District 38B,content/state-house/district-38b,_index.md
District 38C,Maryland House of Delegates District 38C,content/state-house/district-38c,_index.md
District 39,Maryland House of Delegates District 39,content/state-house/district-39,_index.md
District 40,Maryland House of Delegates District 40,content/state-house/district-40,_index.md
District 41,Maryland House of Delegates District 41,content/state-house/district-41,_index.md
District 42A,Maryland House of Delegates District 42A,content/state-house/district-42a,_index.md
District 42B,Maryland House of Delegates District 42B,content/state-house/district-42b,_index.md
District 43,Maryland House of Delegates District 43,content/state-house/district-43,_index.md
District 44A,Maryland House of Delegates District 44A,content/state-house/district-44a,_index.md
District 44B,Maryland House of Delegates District 44B,content/state-house/district-44b,_index.md
District 45,Maryland House of Delegates District 45,content/state-house/district-45,_index.md
District 46,Maryland House of Delegates District 46,content/state-house/district-46,_index.md
District 47A,Maryland House of Delegates District 47A,content/state-house/district-47a,_index.md
District 47B,Maryland House of Delegates District 47B,content/state-house/district-47b,_index.md
District 1,Maryland State Senate District 1,content/state-senate/district-1,_index.md
District 2,Maryland State Senate District 2,content/state-senate/district-2,_index.md
District 3,Maryland State Senate District 3,content/state-senate/district-3,_index.md
District 4,Maryland State Senate District 4,content/state-senate/district-4,_index.md
District 5,Maryland State Senate District 5,content/state-senate/district-5,_index.md
District 6,Maryland State Senate District 6,content/state-senate/district-6,_index.md
District 7,Maryland State Senate District 7,content/state-senate/district-7,_index.md
District 8,Maryland State Senate District 8,content/state-senate/district-8,_index.md
District 9,Maryland State Senate District 9,content/state-senate/district-9,_index.md
District 10,Maryland State Senate District 10,content/state-senate/district-10,_index.md
District 11,Maryland State Senate District 11,content/state-senate/district-11,_index.md
District 12,Maryland State Senate District 12,content/state-senate/district-12,_index.md
District 13,Maryland State Senate District 13,content/state-senate/district-13,_index.md
District 14,Maryland State Senate District 14,content/state-senate/district-14,_index.md
District 15,Maryland State Senate District 15,content/state-senate/district-15,_index.md
District 16,Maryland State Senate District 16,content/state-senate/district-16,_index.md
District 17,Maryland State Senate District 17,content/state-senate/district-17,_index.md
District 18,Maryland State Senate District 18,content/state-senate/district-18,_index.md
District 19,Maryland State Senate District 19,content/state-senate/district-19,_index.md
District 20,Maryland State Senate District 20,content/state-senate/district-20,_index.md
District 21,Maryland State Senate District 21,content/state-senate/district-21,_index.md
District 22,Maryland State Senate District 22,content/state-senate/district-22,_index.md
District 23,Maryland State Senate District 23,content/state-senate/district-23,_index.md
District 24,Maryland State Senate District 24,content/state-senate/district-24,_index.md
District 25,Maryland State Senate District 25,content/state-senate/district-25,_index.md
District 26,Maryland State Senate District 26,content/state-senate/district-26,_index.md
District 27,Maryland State Senate District 27,content/state-senate/district-27,_index.md
District 28,Maryland State Senate District 28,content/state-senate/district-28,_index.md
District 29,Maryland State Senate District 29,content/state-senate/district-29,_index.md
District 30,Maryland State Senate District 30,content/state-senate/district-30,_index.md
District 31,Maryland State Senate District 31,content/state-senate/district-31,_index.md
District 32,Maryland State Senate District 32,content/state-senate/district-32,_index.md
District 33,Maryland State Senate District 33,content/state-senate/district-33,_index.md
District 34,Maryland State Senate District 34,content/state-senate/district-34,_index.md
District 35,Maryland State Senate District 35,content/state-senate/district-35,_index.md
District 36,Maryland State Senate District 36,content/state-senate/district-36,_index.md
District 37,Maryland State Senate District 37,content/state-senate/district-37,_index.md
District 38,Maryland State Senate District 38,content/state-senate/district-38,_index.md
District 39,Maryland State Senate District 39,content/state-senate/district-39,_index.md
District 40,Maryland State Senate District 40,content/state-senate/district-40,_index.md
District 41,Maryland State Senate District 41,content/state-senate/district-41,_index.md
District 42,Maryland State Senate District 42,content/state-senate/district-42,_index.md
District 43,Maryland State Senate District 43,content/state-senate/district-43,_index.md
District 44,Maryland State Senate District 44,content/state-senate/district-44,_index.md
District 45,Maryland State Senate District 45,content/state-senate/district-45,_index.md
District 46,Maryland State Senate District 46,content/state-senate/district-46,_index.md
District 47,Maryland State Senate District 47,content/state-senate/district-47,_index.md
District 1,U.S. House of Representatives Maryland District 1,content/us-house/district-1,_index.md
District 2,U.S. House of Representatives Maryland District 2,content/us-house/district-2,_index.md
District 3,U.S. House of Representatives Maryland District 3,content/us-house/district-3,_index.md
District 4,U.S. House of Representatives Maryland District 4,content/us-house/district-4,_index.md
District 5,U.S. House of Representatives Maryland District 5,content/us-house/district-5,_index.md
District 6,U.S. House of Representatives Maryland District 6,content/us-house/district-6,_index.md
District 7,U.S. House of Representatives Maryland District 7,content/us-house/district-7,_index.md
District 8,U.S. House of Representatives Maryland District 8,content/us-house/district-8,_index.md
District 1,Anne Arundel County County Council District 1,content/anne-arundel-county/county-council/district-1,_index.md
District 2,Anne Arundel County County Council District 2,content/anne-arundel-county/county-council/district-2,_index.md
District 3,Anne Arundel County County Council District 3,content/anne-arundel-county/county-council/district-3,_index.md
