title,shortTitle,directory,filename,districts,type
County Executive for Anne Arundel County,County Executive,content/anne-arundel-county/county-executive,_index.md
County Council for Anne Arundel County,County Council,content/anne-arundel-county/county-council,_index.md,7,district-list
State’s Attorney for Anne Arundel County,State’s Attorney,content/anne-arundel-county/states-attorney,_index.md
Board of Education for Anne Arundel County,Board of Education,content/anne-arundel-county/board-of-education,_index.md,7,district-list
County Executive for Baltimore County,County Executive,content/baltimore-county/county-executive,_index.md
County Council for Baltimore County,County Council,content/baltimore-county/county-council,_index.md,7,district-list
State’s Attorney for Baltimore County,State’s Attorney,content/baltimore-county/states-attorney,_index.md
Board of Education for Baltimore County,Board of Education,content/baltimore-county/board-of-education,_index.md,7,district-list
County Executive for Harford County,County Executive,content/harford-county/county-executive,_index.md
State’s Attorney for Harford County,State’s Attorney,content/harford-county/states-attorney,_index.md
County Executive for Howard County,County Executive,content/howard-county/county-executive,_index.md
County Council for Howard County,County Council,content/howard-county/county-council,_index.md,5,district-list
State’s Attorney for Howard County,State’s Attorney,content/howard-county/states-attorney,_index.md
Board of Education for Howard County,Board of Education,content/howard-county/board-of-education,_index.md
County Commissioner for Carroll County,County Commissioner,content/carroll-county/county-commissioner,_index.md,5,district-list
State’s Attorney for Carroll County,State’s Attorney,content/carroll-county/states-attorney,_index.md
Board of Education for Carroll County,Board of Education,content/carroll-county/board-of-education,_index.md
