general-only,survey-response,race,district,full-name,last-name,dob,residence,party,education,background,web,social-fb,social-tw,headshot,a1,a2,a3,q1,q2,q3,sn1,sn2,sn3
,NO,anne-arundel-county/board-of-education,1,Candace C.W. Antwine,Antwine,,,Non-Partisan,,,,,,,,,,,,,,,
,SUSPENDED,anne-arundel-county/board-of-education,5,Uju Elliffe,Elliffe,,,Non-Partisan,,,,,,,,,,,,,,,
,NO,anne-arundel-county/board-of-education,5,Terry R. Gilleland Jr.,Gilleland Jr.,,,Non-Partisan,,,http://terrygilleland.com,terry.gilleland.aacps,terrygilleland,,,,,,,,,,
,NO,anne-arundel-county/board-of-education,5,Vincent Goldsmith,Goldsmith,,,Non-Partisan,,,http://www.vincentgoldsmith.com,VincentGoldSmithBOE,,,,,,,,,,,
,NO,anne-arundel-county/board-of-education,1,David P. Starr,Starr,,,Non-Partisan,,,,DavidStarrBOE,,,,,,,,,,,
,YES,anne-arundel-county/board-of-education,1,Sidney A. Butcher,Butcher,12/02/1976,Hanover,Non-Partisan,Bachelor of Science in Business Administration Florida A& M University  Juris Doctor University of Kansas School of Law,"Office of the State's Attorney for Baltimore City 2005-2015 Whiteford, Taylor & Preston, LLP  2015-2018 Office of the Attorney General for Maryland 2018-Present",,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299929/179-a8c2004fbb695717c5af4ee3769852cc_Profile_Pic.jpg,"The budget requested by the Superintendent and BOE has not been fully funded for years. There are several categories of teachers that have not seen step increases over the years. If the County Executive and County Council fully fund the Superintendent's budget request then the Board of Education should take care of the teachers. Again, there is a lack of understanding as the BOE can only work with the money approved by the County Council.","The money seems to be coming from the County and the State; this money should be used as the County Executive and Superintendent have indicated with more  school resource officers, more secure doors, bulletproof shields and cameras.","As a current Board Member we are listening to every parent/child that have wanted to speak about their experience of bullying during our open sessions during board meetings. All reports that are filed are investigated by school staff. The responsibility of the board is to act as a final arbitrator if a student and/or teacher is punished and they appeal that finding to he Board we either uphold, increase or decrease the punishment. In addition, we will be establishing a series of forums to discuss bullying and other issues to assist parents and students with understanding the process. Finally, the common sense definition of bullying does not meet the definition that the school system has to follow. We are working on more outreach to the community so there is a better understanding of the responsibilities of the Board. This information better allows for parents to arm themselves with the right information to advocate for their children.",The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the Board of Education fund these increases?,The county has committed to additional funding for school security. How do you want to see this money spent?,Parents have complained to the current board about bullying at schools. How do you feel the board should address this issue?,Teacher raises,School security,Bullying
,YES,anne-arundel-county/board-of-education,7,Ray Leone,Leone,10/17/1963,Edgewater,Non-Partisan,"- Some College 
- Veteran  
- USAF Electronics School Keesler AFB MS ","- Past President Maryland PTA, Anne Arundel PTA  
- Cable TV installation, Repair, Design and Management.  
- Self Employed Distribution agent Baltimore Sun in AA County.  
- Currently Retail Management. ",https://rayleonedist7.com,,rayleoneboed7,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299929/245-4ea69b6d6b6f8a935e10e7ab005c3ff0_26903734_445624399185890_2055779463444218126_n.jpg,"We need to bring the teachers pay steps back into line with their longevity level, and further in line with neighboring jurisdictions. This needs to be done to stem the tide of teachers leaving this county and teaching elsewhere for better pay.  I believe that keeping teachers in our county for longer tenures will help us close the achievement gap.  We also need to provide better Professional Development with a focus on understanding communities, poverty issues, and outside influences on student learning.","We need to spend this extra money on additional camera and video surveillance equipment and monitoring personnel, enhanced door locks, and active shooter training for students. We do not need to arm teachers or bring airport style metal detectors into schools, SRO's trained in how to handle students, special education situations and tactical situations involving hundreds of students is something that I would like to see in every school. Active Shooter training will give the students a blueprint for how to think and react in these situations and would carry over into other public venues like the Mall, Concerts and College.",The Board of Education should give clear instruction of expectations to the Superintendent. Set measurable goals to track progress. Listen to parent concerns in a respectful manner and expect prompt follow up on issues by school system personnel. To be clear the Board of Education hires the Superintendent and sets expectations via the contract. Sets policy under which the Superintendent operates and directs his staff and reviews policy and regulation regularly. The board is responsible for monitoring the Superintendent's progress on addressing these types of issues and any concerns brought before it.,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the Board of Education fund these increases?,The county has committed to additional funding for school security. How do you want to see this money spent?,Parents have complained to the current board about bullying at schools. How do you feel the board should address this issue?,Teacher raises,School security,Bullying
,YES,anne-arundel-county/board-of-education,7,Michelle Corkadel,Corkadel,1/17/1969,Edgewater,Non-Partisan,Studied Political Science at Penn State University,"Current Employment: Constituent Services Officer, Anne Arundel County. Representing the Southern and Western Portions of Anne Arundel County for County Executive . Primary duties include constituent services; broadcast tv talent for Week In Review; representation for the following boards and commissions: Crownsville Hospital State Task Force, Weed Warriors, Bee City USA, Agriculture and Agritourism Commission, Police Community Relations Council, South County Bridges to a Drug Free Community, Laurel Racetrack Impact Fee Committee, and several workgroups for policy and legislative review. Past Employment: Owner of small consulting firm specializing in operations and development services.",http://corkadel.com,michelle.corkadel,corkadel,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299929/95-f440babf22fd9b0b65b30aedf8d01f9e_Corkadel_Image.jpg,"About a decade ago, our County faced a large fiscal challenge. This recession dynamically changed the compensation of our teachers. Salaries became stagnated as our teachers sacrificed their own families financial stability to keep our schools open and our students receiving good quality education. The recession is now over. We must recognize that our teachers are our most important classroom resource. Our mutual goal must be to invest in our teachers' compensation. The County has been willing to work with AACPS on pressing issues such as stabilizing the pension fund and health insurance. We must now come together to better compensate our teachers as well as provide a more competitive compensation package to ensure we are able to not just retain the educators we have, but hire more teachers to reduce our student to teacher ratios in our classrooms. We have decided to make an investment in new schools to reduce school population sizes; we must approach classroom sizes with the same vigor and intent.","Here is an opportunity to make changes now to mitigate the deficiencies that exist and simultaneously work towards a larger, enterprise level solution. Several categories of change should be instituted. Although the subcategories are many, I would like to cite a few examples: 1. Facility changes: Modern, double entry door systems and a reassessment of secondary ingress and egress points. Re-evaluate travel points between public entrances and the security check in point 2. SoftwareTechnology: There are apps recently released that can create a school community group that allows anyone to report an intruder or active shooter as it occurs and will automatically notify public safety, locate that person no matter where they are on campus and then alert the larger school community so everyone can take immediate action. 3. Hardware Technology: New monitoring and other integrated notification system devises. Upgrade our wi-fi and cellular coverage in the schools so communication can be instant and efficient. 4. Prevention and response training. Everyone should be equipped to respond to an incident 5. Mental Health Investment: Additional staff and access to continuing education for our teachers on this critical issue. 6. Public safety investments: Our County Council each year limits the # of police and mobile crisis we can add to the force in the interest of other budget priorities, SROs and our mobile crisis team needs more personnel and training resources. Our regular police force needs adequately staffed, as they are just as important to security.","Bullying has been and continues to be a challenge for schools across the nation. Bullying is targeted mental and sometimes physical abuse of another person. Almost all children who bully are externalizing their own insecurities and are often unable to cope with negative emotions. They are in need of mental health services At the same time, one in every 20 families face extreme challenges coping with opiod addiction of a loved one. That means at least one student in each classroom goes home to addiction. There is a connection. Bullying can be responded to when it occurs and we must always be evaluating our policies of conduct to ensure we have ample restitution to the victim and correction measures that hopefully discourage future bullying behavior. That is not enough. We must work to prevent it from occuring in the first place. The first step is to create a healthy environment for our students. Mental health is just as relevant to our students health as their physical well being. As one of the moderators and team member of the Not My Child Opiod Prevention Team, I have been in our schools, churches, community centers and businesses, sharing information and strategies with an ultimate goal of No New Users. What that experience has taught me is we do not have adequate mental health services in our schools. School mental health resources are underfunded. The state and feds need to make this a priority, as the County cannot fund this challenge alone.",The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the Board of Education fund these increases?,The county has committed to additional funding for school security. How do you want to see this money spent?,Parents have complained to the current board about bullying at schools. How do you feel the board should address this issue?,Teacher raises,School security,Bullying
,YES,anne-arundel-county/board-of-education,4,Melissa Ellis,Ellis,1/11/1971,Millersville,Non-Partisan,"I received a Bachelor of Arts from University of Maryland Baltimore County in 1993. I majored in psychology and focused my studies on child development and education. As an undergraduate, I participated in two large-scale faculty research projects and presented my own research as a part of one of those projects at a conference for the American Psychological Association.","I have a diverse background in private industry, government contracting, and volunteer work. Positions have included human resources management, logistics for the US Navy, retail management, flight coordinator and sales for a jet charter company, and several volunteer roles for my childrens' schools and community theaters. I have also homeschooled our four children since 2009, though two of our children have successfully transitioned to public high school. I believe my diverse background will make me an ideal board member for determining budget and policy related to the many aspects of a well-run school system.",,melissaellisboe,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299929/179-d45ad59f629f54d1f4827a4ffe771700_Melissa_Ellis_Headshot_C.jpg,"Good teachers are the foundation and top priority for a quality education. I firmly believe that retention strategies are the most cost-effective means of achieving that goal. I have met with numerous teachers of the past several months and know that many of them feel gravely undervalued, especially those that stuck it out and could earn more by moving to another school system. It is demoralizing for these teachers to train newly hired teachers with a similar level of education and experience who are earning a higher salary. The cost of turnover both financially and to the quality of education we can offer our students is greater than doing what is necessary to retain our experienced and effective teachers. I am aware that over the last decade, the AACPS budget for non-teaching positions has increased at three times the rate of spending on teachers. I believe this misguided practice has been detrimental to our students in multiple ways, and I believe we need to refocus our budget back into the classroom. Hiring and retaining quality teachers has to be our number one priority. Our board and administration has to create a budget that reflects this goal and work with our County Executive and County Council to ensure we have the resources necessary to offer the best possible education to every student, regardless of zip code or other factors affecting a student's opportunity to succeed.","If at all possible, once we have ensured that every school has the same quality safeguards already in place in many of our schools, I would like to see that money spent on sufficient staffing within our schools with teachers, guidance counselors, and psychologists. If these funds are restricted to what might be considered more concrete security measures, then these funds could be used to add to enhancing and updating current security equipment and school resource officers. It is important though that these officers are seen as security for the students and not policing of the students. These officers need to have opportunities to regularly interact with students in a way that the students feel safe and see them as a support. It is important that we not overestimate and therefore overreact to the real threat to our students to the point that we are making rash decisions that will serve to put our students in even greater danger. Turning our schools into prison-like fortresses could have detrimental effects on both the student and adult population as was reported a few weeks ago in ""Education Week."" School will become even more of a place where students don't feel safe, rather a place they expect violence. This will also create a divide between teachers and students as students are seen as potential threats rather than young citizens to develop and nurture into productive citizens. The psychological effects here are potentially much more costly than the benefits of peace of mind.","After attending a Board of Education meeting and witnessing over an hour of public testimony from parents and students on this issue, I was left feeling disturbed and very concerned about how these cases are being handled. I began researching and attending other public forums, and most recently sat down with a parent who has become a leader in this movement to have our schools deal with bullying of students by fellow students and even teachers. The process for the handling of reports and resolving these cases seems to be deeply flawed. It is a very complicated issue with many factors serving as a barrier to the protection of our students, but we must methodically and systematically come up with concrete solutions that will not leave the onus on the victim to find a solution to ending their ongoing torment. I believe our board should create a commission made up of parents, students, administrators, guidance counselors, law enforcement, and the Department of Health to come up with policies and means of enforcement that will ensure that every student feels safe and supported in our schools. There is no choice but to move forward with finding effective solutions and not just point to current codes of conduct that are not being followed or enforced. It is heartbreaking to know how our school system has let down these young victims of emotional and physical violence. I would make this issue a top priority as a board member.",The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the Board of Education fund these increases?,The county has committed to additional funding for school security. How do you want to see this money spent?,Parents have complained to the current board about bullying at schools. How do you feel the board should address this issue?,Teacher raises,School security,Bullying
,YES,anne-arundel-county/board-of-education,7,Laticia Hicks,Hicks,8/30/1973,Crofton,Non-Partisan,"I hold a B.A. in Criminology with a minor in political science from the University of Miami, a M.P.A. and a certificate in HR policy and management from Florida International University, and a M.A. in education from New Jersey City University.",Educator Civil Servant,,LHicksForSchoolBoard7,,,"In 2008, Teachers demonstrated their commitment and dedication to the children and families of this county by agreeing to temporarily forgo raises until the economy got back on track. To date, the county executive has not offered a plan to compensate the teachers for that sacrifice. To retain and recruit qualified and effective teachers, step increases must be funded. The county must show that they respect and appreciate the invaluable work educators do for the development of young minds and the future of our community.","In addition to hard security measures such as cameras, redesigning school entrances to limit direct access to the school, and increasing school resource officers, I think a majority of the funding should be spent on proactive measures to create safe and secure schools. Those strategies should include hiring an adequate number of counselors, psychologist, and other mental health professionals; reducing teacher-student and student-counselor ratios, implementing school-wide violence prevention programs, and implementing an anonymous reporting system.","The board should address bullying by taking seriously all reports of bullying or harassing behaviors and they should work to quickly to address those violations. The board should also address bullying by expanding their anti-bullying policy to include strategies to influence positive student behavior and improve the school climate beyond discipline measures such as implementing character education programs. Other strategies include training for students, teachers, and staff on how to appropriately recognize and respond to reports of bullying or incidents. Efforts should be made to promote effective preventive and intervention approaches such as counseling and support services. Anonymous reporting systems have also shown to be effective in other districts. Furthermore, there should be a review of the current anti-bullying policy and procedure to determine its effectiveness and its ability to protect bullied students and their families.",The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the Board of Education fund these increases?,The county has committed to additional funding for school security. How do you want to see this money spent?,Parents have complained to the current board about bullying at schools. How do you feel the board should address this issue?,Teacher raises,School security,Bullying
