general-only,survey-response,race,district,full-name,last-name,dob,residence,party,education,background,web,social-fb,social-tw,headshot,a1,a2,a3,a4,a5,a6,a7,a8,a9,q1,q2,q3,q4,q5,q6,q7,q8,q9,sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8,sn9
,NO,baltimore-county/county-council,4,Derrick A. Burnett Sr.,Burnett,,,Democratic,,,http://www.votedabsr2018.com/,https://www.facebook.com/derrick.burnett.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,baltimore-county/county-council,7,Todd Crandell,Crandell,,,Republican,,,http://teamcrandell.com,facebook.com/teamcrandell,crandell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,baltimore-county/county-council,5,Alex Foley,Foley,,,Democratic,,,,facebook.com/profile.php?id=5194895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUSPENDED,baltimore-county/county-council,1,Pete Melcavage II,Melcavage,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,baltimore-county/county-council,5,Jay Payne,Payne,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,baltimore-county/county-council,1,Tom Quirk,Quirk,,,Democratic,,,http://www.councilmantomquirk.com,Councilman Tom Quirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,baltimore-county/county-council,6,Allen E. Robertson,Robertson,,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YES,YES,baltimore-county/county-council,7,Doug Stanley,Stanley,5/26/1979,Dundalk,Libertarian,College courses and IT certification. 	,IT Infrastructure Engineer,http://votedougstanley.com,,,,"As with every political administration, there are strengths and weaknesses. I respect County Executive Kamenetz for serving Baltimore County. The county executive added more funding for a consecutive amount of years to the County school budget to rebuild and renovate schools .  Some of the failings have been the attempted sale of school property to a retail developer. The resulting attempted sale relocated a police department and threatened to pave over a large recreational space. The community fought back against it and sale was halted by the state . The executive seemed to lose touch with some less affluent communities in the county with some of the administration's actions .","The adopted operating budget support detail fiscal year 2018 for Baltimore County Department of Education category of LAND, BLDG, and OTHER IMPROVEMENTS indicates the adjusted appropriated budget for FY2017 is 14,484,815 and adopted budget for FY2018 is 14,595,311. Based on the budgetary information FY2018 budget currently indicates adequate resources to meet its needs particularly to renovate or replace aging schools. In the event more funds would be required to satisfy commitments then a current spending audit and budgetary funds surplus in other agencies would be considered. Burdening the citizens of Baltimore County with Increasing property tax or local income tax should be the avoided and only should be considered after all the other resources are exhausted.",There should be no discrimination against anyone using federal programs.,Yes the county exercises adequate oversight of the school system.,The Revitalization of an aging community could lead to growth and increased tax revenue when communities start growing again . Any help to communities that are undergoing revitalization would have to be deemed on a case by case basis and the positive impacts to the community and county would have to be weighed in the decision making process .,Baltimore County Police must conduct more public outreach programs to increase visibility and to further continue to build trust within the community they serve. Reforms are method of continuous improvement and reforms that supports the community and improved quality of work for Baltimore County Police Department must be adopted.,We must continue the preservation of our rural land in Baltimore County. Current Urban-Rural Demarcation Line is servicing the county's needs. Zoning policies must be stringent to continue supporting of the rural land preservation in Baltimore County.,Historically within Baltimore County works in collaboration with cultural institutions and non-profits and have encouraged high quality artistic programs for the residents of the county. Baltimore County must continue to strengthen their outreach within the county. Initiations of support for cultural institutions in Baltimore city must be addressed only if Baltimore County's budget can support the project. A collaborative approach is always considered between both the Baltimore City and County community for cultural institutions.,Maryland Transit Authority have been serving the residents of Baltimore Community with great stride. Unfortunately many areas of Baltimore County are still deprived of public transportation. With detailed research that includes census support and budgetary justification an expansion of service coverage in all Baltimore County must be considered by Mass Transit.,What do you consider the greatest accomplishments and failings of the Kamenetz administration?,"Does Baltimore County have adequate resources to meet its needs, particularly to renovate or replace aging schools? Do you support increasing the property tax or local income tax?","Do you support Baltimore County's federal housing consent decree? In particular, do you support a prohibition on rental discrimination against those who use federal housing vouchers?",Does the county government exercise adequate oversight over the school system? ,What role can the county play in assisting in the preservation or revitalization of aging communities?,How would you characterize the relationship between the Baltimore County police and the communities they serve? Are any reforms necessary?,Baltimore County was a pioneer in rural land preservation. Do its zoning policies and the Urban-Rural Demarcation Line continue to serve the county's needs?,"Is Baltimore County's support for cultural institutions in Baltimore City too little, too much or just right?",Is Baltimore County adequately served by mass transit?,Kamenetz,Resources/Taxes,Housing,School system,Communities,Police,Zoning,Baltimore City,Transit
,YES,baltimore-county/county-council,6,Deb Sullivan,Sullivan,7/17/1958,Rosedale,Republican,Graduate of Baltimore County Public Schools.,"Co-owner Sullivan & Sons, Inc (family business)- Secretary since 1984 to present, BCPS Title 1 Program - Teacher's Aide 1986-1992, Sears, Roebuck & Co. - Sales & HR Trainer 1992-1997, John's Hopkins University- Patient Service Coordinator (outpatient Oncology) 1997-2006, owner of Sweet Fixation (candy / gift shop) 2006-2013.",https://www.debsullivanforbc.com,debsullivanforbc,debsullivan4bc,,"Accomplishments: built some new schools, air-conditioned some schools, built some parks  Failings : outsourcing services which has lost the County $$$$$$$ over the 7+ yrs under his leadership, There are schools still without air-conditioning, schools overcrowded, school education program lacking in discipline and strong education programs, failing infrastructure, over-development across the county, some schools still in deplorable condition that were scheduled to be remodeled but weren't, superintendent of BCPS hired, fired, indicted under his watch, rain-tax continued under tenure, East side of Baltimore County crime, rat infestation, and littered (remarkable compared to other areas of the County)","I think that there needs to be an audit of the County Budget, to see where funds were spent, where funds were moved from one designation to another.  We would need to see if misappropriation of funds allocated for schools has been an issue. Otherwise, schools that have been on the list to receive renovations such as Dulaney and Landsdowne, should of received them. All schools should have been air-conditioning, as planned. There are definit concerns as to the upkeep and condition of schools.  There has been outsourcing of services by this administration, where those funds have been much needed here within the County.  I think there should be a full accessment of the budget and spending, before taxes are increased. It seems like There are definet discrepancies between various communities East to West, and the care of their communities and roadways, and infrastructure.  Certain County employees pensions and retirement plans are increased, yet schools and roadways are deficient. There needs to be a total review planned to tighten up the County's budget before any tax increase.",I would need to obtain more information on the County's federal housing consent decree.,"I do not think that the County Government excercises adequate oversight over the school system. There are a lot of discipline issues in our school buildings. There are too many disruptions in over-crowded schools. School Resource Officers are not allowed to do their jobs in the schools. Students are afraid, as well as teachers, bus drivers, school support staff. The school system needs more involvement by the County, working together, in order to get schools up to standards both with discipline and education.","The County could meet with the various communities, help access needs and wants of the citizens, as well as community organizations. Together create a plan, and Review the cost of implementation of the plan. Determine funding availability and other resources that could help fund the plans.","I think there are strained relationships in some communities between BC Police and the community. It is worse in some communities, over others. There needs to be a plan created to have a greater police presence and interaction with citizens of all ages. Communities would have to build better relationships through more positive interaction between Police officers and residents. There needs to increased opportunities created for this interaction, by way of community events, community meetings, Police on patrol, etc...","I think that Baltimore County has become over developed through this last administration. There seems to be less and less land preservation in certain areas. Many housing developments and commercial development. Yet lots of vacant commercial buildings. The County needs to develop more responsibility and orderly. So, I do not think that the Urban-Rural Demarcation continues to serve the County.",It certainly looks like Baltimore County adequately supports cultural institutions in Baltimore City with a 2019 proposed budget of $3.9 million to support Arts and Cultural organizations.,It appears that Baltimore County is adequately served by mass transit. There are often fairly empty mass transit buses serving the communities of Baltimore County.,What do you consider the greatest accomplishments and failings of the Kamenetz administration?,"Does Baltimore County have adequate resources to meet its needs, particularly to renovate or replace aging schools? Do you support increasing the property tax or local income tax?","Do you support Baltimore County's federal housing consent decree? In particular, do you support a prohibition on rental discrimination against those who use federal housing vouchers?",Does the county government exercise adequate oversight over the school system? ,What role can the county play in assisting in the preservation or revitalization of aging communities?,How would you characterize the relationship between the Baltimore County police and the communities they serve? Are any reforms necessary?,Baltimore County was a pioneer in rural land preservation. Do its zoning policies and the Urban-Rural Demarcation Line continue to serve the county's needs?,"Is Baltimore County's support for cultural institutions in Baltimore City too little, too much or just right?",Is Baltimore County adequately served by mass transit?,Kamenetz,Resources/Taxes,Housing,School system,Communities,Police,Zoning,Baltimore City,Transit
,NO,baltimore-county/county-council,5,John Michael Torsch,Torsch,,,Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
