general-only,survey-response,race,district,full-name,last-name,dob,residence,party,jurisdiction,web,social-fb,social-tw,headshot,education,background,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8,sn9,sn10,sn11,sn12
,NO,Representative in Congress,3,Charles Anthony,Anthony,,,Republican,Montgomery County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YES,NO,Representative in Congress,6,Ted Athey,Athey,,,Unaffiliated,Washington County,http://www.tedathey.com,atheyselectrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,4,Dave Bishop,Bishop,,,Libertarian,Anne Arundel County,http://www.bishop4congress.com,DaveBishopforCongress,Bishop4House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YES,Representative in Congress,7,Ray Bly,Bly,06/26/2049,Jessup,Republican,Howard County,http://www.raybly.com,profile.php?id=100006636978715,raybly,,"132 credit hours at University of Baltimore, electronic and appliance technical training","Vietnam Veteran, private business for over 40 years","Fighting for the constitution, but having difficulty with our current bureaucracy",I support the current tax cuts and see how they benefit the working poor. I would like to see this become permanent. An action of this type may raise living standards substantially.,"Definitely. Reduce social programs, reduce foreign aid, and military interference in other nations. Cut the size of our military, within reason, and downsize the size of the federal government in general.",Economic inequality is a major problem. The federal government needs to put more resources into education in order to adequately supply our workforce and elevate the living standard of the lower income citizens.,The constitution gives every citizen the right to bear arms. The government need not interfere with this unless the gun is used in the commission of a crime.,Scrap it. Replace it with Medicare for all citizens and double the tax on this.,State and local governments are better equipped to deal with issues in Baltimore. The federal government doesn't understand the problems faced in this area.,"Do away with capitalism. The competition of such a society leads to stress, obesity, greed, and drug/alcohol related problems.","We need to remember that America is the great ""melting pot"". We should increase quotas and increase the measures for background checks.",I'm all for free trade if the goods are actually free. It needs to be a reciprocal agreement with these nations that they will not impose undue tariffs on our goods.,No. The deal cannot fully be verified. Why didn't the United States reach similar deals with Pakistan and India?,The United States needs to attempt a peaceful halt to the increase of their nuclear program and work with them for mutual understanding and respect.,How do you assess the Trump administration so far?,Do you support or oppose the federal tax cuts passed in 2017? What effect do you believe they will have on the economy?,"Is the level of national debt a concern? What, if anything, should be done to reduce it or constrain its increase?","Is the level of economic inequality in the United States a problem, and if so, what should the federal government do to address it?","Should federal gun laws be changed, and if so, how?","What should Congress do with respect to the Affordable Care Act? Should it be strengthened, and if so, how? Should it be scrapped? If so, what if anything should replace it?",What role should the federal government play in helping cities like Baltimore?,What can Congress do to address the opioid epidemic?,What changes if any should Congress make to our immigration and deportation laws and policies?,"Should the United States continue with the free trade policies it pursued for the last several decades, or should it enact restrictions in an attempt to help domestic industries?",Do you support the Iran nuclear deal?,How should the United States address the rise of North Korea’s nuclear program?,Trump record,2017 Tax cuts,National debt,Income inequality,Gun laws,ACA,Urban policy,Opioids,Immigration,Free trade,Iran,North Korea
,NO,Representative in Congress,1,Michael Brown,Brown,,,Democratic,Wicomico County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YES,Representative in Congress,4,Anthony G. Brown,Brown,11/21/1961,Bowie,Democratic,Prince George's County,http://www.anthonybrown.com,anthonybrown.maryland,anthonybrownmd4,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299807/99-73881a6fbd79017aa61c8d17b2035f72_397765C0-00C3-446E-AEF6-FDACBBB5BB03.jpeg,"Harvard College, BA, Government, 1984 Harvard Law Scool, JD, 1992",Attorney,"The Trump Administration has been a failure, both domestically and internationally.","Oppose. The federal tax cuts resulted in the top 1% of income earners receiving 83% of the benefits, and will increase the federal debt by $2.3 trillion dollars.","The national debt is a concern and will be a crushing burden on our children and grandchildren. To reduce the national debt, we must reduce our trade deficit, grow our economy through targeted investments in education and infrastructure, and reform our tax code to ensure that everybody pays their fair share of taxes.","Economic inequality is a severe problem in the United States and can be addressed by a more progressive tax code, greater investments in education and workforce development, greater federal investments in communities experiencing persistent poverty, expand small business and entrepreneurial opportunities, and ensure equal access to homeownership.","Federal gun laws should be changed by establishing universal background checks, closing the gun show loophole, banning bump stocks and assault weapons, limiting the capacity of ammunition magazines, and expanding the no-buy list to domestic violence perpetrators and people on the no-fly list.","The Affordable Care Act was a step in the right direction and needs to be strengthened, and eventually replaced with a single payer system.","The federal government should help cities like Baltimore by investing in federal programs that create employment opportunities in high unemployment communities, investing in aging infrastructure and affordable housing programs, providing summer jobs and year-round training to at-risk youth, addressing food insecurity by combatting food deserts, and implementing the Congressional Black Caucus' 10-20-30 formula whereby federal agencies commit 10% of their budgets in communities where 20% of the population has been living in poverty for the last 30 years.","Congress must increase funding to state and local government to support community and evidence-based programs to address the opioid epidemic, and develop opioid prescribing practices to reduce opioid misuse and overdoses.","Congress must pass comprehensive immigration reform that promotes family reunification and diversity, strengthens our workforce and economy, and provides refuge for asylum seekers and refugees, while at the same time protects our borders.","The United States should support free trade, while also ensuring that our trading partners abide by the international rules, do not manipulate their currencies, and protect consumers, the labor force, the environment and intellectual property rights.","The Iran Nuclear Deal is a framework agreed to by Iran, the United States, and a group of world powers. The framework did not address Iran's ballistic missile program, its malign activities throughout the Middle East, and its arms sales to state and non state actors that pose a threat to the United States and our allies and partners. The framework also is weak in the areas of inspecting Iran's compliance and with next steps when the framework terminates. As a member of Congress, I support addressing these issues.","The United States should emphasize diplomacy, supported by a strong military posture, with the goal of a denuclearized Korean Peninsula. Diplomacy should include our allies and engage China.",How do you assess the Trump administration so far?,Do you support or oppose the federal tax cuts passed in 2017? What effect do you believe they will have on the economy?,"Is the level of national debt a concern? What, if anything, should be done to reduce it or constrain its increase?","Is the level of economic inequality in the United States a problem, and if so, what should the federal government do to address it?","Should federal gun laws be changed, and if so, how?","What should Congress do with respect to the Affordable Care Act? Should it be strengthened, and if so, how? Should it be scrapped? If so, what if anything should replace it?",What role should the federal government play in helping cities like Baltimore?,What can Congress do to address the opioid epidemic?,What changes if any should Congress make to our immigration and deportation laws and policies?,"Should the United States continue with the free trade policies it pursued for the last several decades, or should it enact restrictions in an attempt to help domestic industries?",Do you support the Iran nuclear deal?,How should the United States address the rise of North Korea’s nuclear program?,Trump record,2018 Tax cuts,National debt,Income inequality,Gun laws,ACA,Urban policy,Opioids,Immigration,Free trade,Iran,North Korea
,NO,Representative in Congress,6,Kevin T. Caldwell,Caldwell,,,Libertarian,Frederick County,http://www.electkevincaldwell.com,,Caldwell4MD6CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,7,Anthony Sr. Carter,Carter,,,Democratic,Baltimore City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,1,Jesse Colvin,Colvin,,,Democratic,Baltimore County,http://www.jessecolvin.com,colvin4congress,colvin4congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,8,Bridgette L. Cooper,Cooper,,,Republican,Montgomery County,http://www.bricooper.net/cooper-for-congress,cooperforcongress,bcoopercongress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
