general-only,survey-response,race-municipality,race-name,race-district,full-name,last-name,dob,residence,party,education,background,web,social-fb,social-tw,headshot,a1,a2,a3,q1,q2,q3,sn1,sn2,sn3
YES,YES,Anne Arundel,County Council,2,Cory Malinowski,Malinowski,10/14/1990,Severn,Unaffiliated,"Currently holds an Associate's Degree in Chinese from the Defense Language Institute in Monterey, California and progressing toward a degree in Digital Forensics.","Primarily working in language and information technology. Before joining the US Navy, I supported several clients' network infrastructure. Currently, I support the Department of Defense as my primary employment.",https://www.corymalinowski.com,coryforcountycouncil,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/191-e2979c8402063195f4c85cfc056cb11c_Cory_M_%2811%29.JPG,"The county should certainly focus on particular areas that need reinvestment as well as keep their eyes open for the future. We need to ensure our communities are well taken care of, but we also need to facilitate new development, but not at the cost of forgetting about what we have already committed ourselves to (the community that is here now).   As far as dedicating time and resources to develop small area plans, that depends on where, how many, how long, and how much that research and development will cost the county. We are not flush with spare funds and we need to keep a watchful eye on our spending. However, keeping certain areas in mind when generating the Development Plan, potentially even drafting up a few small area plans will be worthwhile and give the community something to look forward to close to home.   By limiting the small area plans to just a handful, we can alleviate some of the additional burdens it would take to make small area plans for every community, while still keeping in line with a focus on specific areas that are desperate need of attention.","The cost of materials for schools keeps increasing, and unfortunately that tends to sap budgets of any wiggle room we may have once had. Personally, I think our teachers are like our farmers, providing the nourishment we need as a society. However, the crops they grow are intangible. Yet, given that we bestow upon them a huge burden to cultivate the minds of our children, we seem to think that their pay should not match their responsibility.   I support a return to step increases based on a time-in-service and performance-based structure. Advancements ought to be meritorious in nature, but we will need to assess as a community, paired in discussion with our teachers and Teachers Association to figure out the best way forward. However, as we spend more in salary, we may need to address some other area of the community's budget to migrate funds over from.  Additionally, this will also mean we need to address first and foremost the issue with pension payments draining the county's general fund. It will be a challenge to get the step increases reinstated, but it is something I am committed to pursuing.","As many voters in Anne Arundel county, I own my home. Thinking of increasing my tax rate that I pay in addition to the mortgage seems unfathomable. I know that times often get tough and we need to band together as a community to support education (yes, even if we do not have children ourselves) and public safety, and infrastructure. However, we still need to keep in mind not all citizens are going to be able to afford a property tax increase. Not only that citizens may not be able to afford it, it will encourage residents to move to other counties, or even worse, other states if we do not maintain a competitive property tax rate.  If critically necessary, raising the tax rate a fraction, and only temporarily, it could be leveraged in extreme circumstances. However, I am much more a proponent of finding other avenues of income for the county. Those ""other avenues"" will need to be creative and not attack any particular markets unless we want to scare off new, and existing businesses.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,NO,Anne Arundel,County Council,1,Kimberly McCoy Burns,Burns,10/23/1963,Linthicum,Republican,Juris Doctor (University of Baltimore School of Law) Masters in Business Administration (College of William & Mary) Bachelor of Arts (College of Notre Dame of Maryland University),"Currently serve in Hogan administration as the Chief of Staff, Maryland Department of Labor, Licensing and Regulation since 2015.  Worked at BWI Thurgood Marshall Airport with the Community Enhancement Grant program and in the Office of Business Relations.  Former President, Maryland Business for Responsive Government (MBRG).  Former small business co-owner, Government Affairs-Maryland, Inc., for 15+ years.  Also appointed to serve two terms on the Board of Trustees for Anne Arundel Community College.",http://www.kimforcouncil.com,KimBurnsforcouncil,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/191-4048264f84fa9728c61f319e32e6b86b_Headshot_Kim_Burnsfin.jpg,"Yes. I believe a process that brings stakeholders together to make our communities in District 1 stronger and better is a good process.  A small area planning process enables residents, businesses and government representatives to come together to address issues important to our communities. The small area planning process represents a community's vision, enables neighborhoods to be proactive in making Open Space and land use, transportation and other quality of life recommendations, and identifies priorities for neighborhood projects as well as possible resources. It adds certainty and stability to communities and community development.","I support adequate resources in the classroom to ensure our children receive a quality education--that includes facilities in which to learn.  I look forward to working with all of the stakeholders and interest groups (including the Teachers Association of Anne Arundel County) to make sure there is a balanced, thoughtful and prudent approach to investing in our future and in our children's education.","I support the county's voter-enacted tax cap and will work hard...and smart...to make sure your tax dollars are spent intelligently, effectively and fairly and to ensure District 1 residents receive the county services (especially public safety) we need.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,NO,Anne Arundel,County Council,6,Michael Christman,Christman,,Annapolis,Republican,,,,,,,,,,,,,,,Taxes
,NO,Anne Arundel,County Council,5,Amanda Fiedler,Fiedler,,Arnold,Republican,,,http://www.voteforfiedler.com,,amandafiedler,,,,,,,,,,Taxes
,NO,Anne Arundel,County Council,7,Jessica Haire,Haire,,Edgewater,Republican,,,https://www.jessicahaire.com,electjessicahaire,rundjessie,,,,,,,,,,Taxes
,YES,Anne Arundel,County Council,1,Sarah Lacey,Lacey,10/06/1980,Jessup,Democratic,"I earned my bachelor's in chemical engineering from MIT in 2002. After working for 3 years, I entered law school. I earned my J.D. from The Catholic University of America, Columbus School of Law, summa cum laude in 2008, with a certificate in Law and Public Policy.","After college, I worked for USFilter–Memcor in Towson as a field process engineer. I traveled the country to run tests of our microfiltration membranes for water and wastewater treatment applications. After law school, I joined the litigation department of Saul Ewing LLP in Baltimore. In 2014, I joined Levin & Curlett LLC (also in Baltimore), where in 2016 I was promoted to partner. Presently, my practice focuses on plaintiff's civil rights cases.",https://www.votesarahlacey.com,sarahforcouncildistrict1,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/44-6498e1d2bc8eaf460894e23f69ba6176_Sarah_Lacey_h-s.jpeg,"Yes. Just as a Councilwoman is the first-level elected representative for a jurisdiction within the County, the small area plans should be the first-level components in the comprehensive rezoning process. The small area plans should also be considered as a group within each councilmanic district, and the plans for each district then should be compared to each other, to ensure the overall plan is equitable.",Absolutely.,"Our budgets reflect our priorities. I do not, at this time, support raising local taxes. I do support lifting the cap if that is required to obtain more funding from the State.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,NO,Anne Arundel,County Council,5,Michael Anthony Peroutka,Peroutka,,Millersville,Republican,,,http://www.peroutkatownhall.com,,,,,,,,,,,,Taxes
,YES,Anne Arundel,County Council,3,Debbie Ritchie,Ritchie,09/26/1958,Pasadena,Democratic,"AA nursing, multiple leadership programs  Emerge MD class 2017","Registered nurse, retired with 30yr of service  Dept. Veterans Affairs MC.   Served on AACPS Board of Education  5yrs PTA leadership, local, county and state level.",http://www.electdebbieritchie.com,friendsofdebbieritchie,ritchie_debbie,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/253-8f73a61216e9a717c54b3307db5e59d8_dritchie.jpg,I think that we should review the current plans and up date as needed. I am not sure if there is adequate time  to start from scratch a new SAP.  But I do believe that there is time to review what is currently in place and review for possible updates or changes. There has been mention of waiting until 2025 but I believe that is to late and the SAP should be taken into consideration now for this GDP.,"Yes, those who were in the system during the recession should be brought up to the correct step.  Educators who come to AACPS from another system with years of service are  being placed at the appropriate step and are making more then those who were with the system during the recession.  The county executive should fund in the budget and the council should approve. This is separate from COLA or funding steps  as part of negotiations.","Yes I do support maximizing the revenue as needed to correct some of the issues that occurred because of the recession.  When asked citizens always  rank education and public safety as important.  Unfortunately this is not always reflected in our budgets.  The issue is, we are competing with the surrounding counties for the best and brightest. The question then is are we willing to pay for it.?  Salary is a major part of it, but  we have to look at the full benefits package a well. Realizing that people at different years in their career want different benefits.   We also have to decide if we want to meet the national expectations for issues such as  lower class sizes or agency recognized standards for the  number of police and fire fighters  per citizens.  If we decide no then we have to be willing to except the consequences.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,NO,Anne Arundel,County Council,3,Dana Smallwood-Friia,Smallwood-Friia,,Baltimore,Republican,,,,dana.smallwood.161,,,,,,,,,,,Taxes
,NO,Anne Arundel,County Council,1,Pete Smith,Smith,,Severn,Democratic,,,http://www.votepetesmith.com,CouncilmanPeteSmith,petesmithmd,,,,,,,,,,Taxes
