general-only,survey-response,race,district,full-name,last-name,dob,residence,party,education,background,web,social-fb,social-tw,headshot,a1,a2,a3,a4,a5,a6,a7,q1,q2,q3,q4,q5,q6,q7,sn1,sn2,sn3,sn4,sn5,sn6,sn7
,YES,carroll-county/county-commissioner,1,Katherine Adelaide,Adelaide,1/3/1957,Taneytown,Republican,"I have an Associates of Arts degree in General Education, a Bachelor of Arts, Cum Laude, with Honors in English, graduated Phi Beta Kappa and a Juris Doctor from the University of Maryland School of Law.","Associate in Zoning and Land Use Law Firm; Office of the General Counsel for M-NCPPC; President, Adelaide & Associates 1991 to Present, professional commercial permit expeditor in Maryland, DC and Virginia; citizen activist for victims of domestic violence and citizens victimized by abusive government, especially through violations of the Maryland Open Meetings Act.",,,,,"As a Republican, County Government should not incentivize growth in the county through zoning. The County should not focus on high density housing or mass transportation, but rather should focus on quality residential and limited commercial development in order to protect the rural, agricultural and historical character of Carroll County. I know how to protect property rights and restrict government overreach which may be happening in the Comprehensive Rezoning Plan currently underway in Carroll County.

Nobody moved to Carroll County because they wanted government bureaucrats to build a bunch of apartments and low-end housing next to their existing communities.  If citizens wanted the trappings of urbanization, they would have simply stayed in places like Owings Mills or Gaithersburg. They do not want it, and, as your Commissioner, I will defend our citizens’ rights to live in communities of THEIR choice, NOT the government’s.

Regarding State mandated planning requirements, I believe in and follow the rule of law, but I also believe in changing/repealing laws which violate our Federal and State Constitutions.
","My vision for economic development in Carroll County is to lower taxes, decrease regulation and eliminate bureaucratic red tape which will support existing small business and make the market more attractive for new business.

Economic development depends on the image of the County and media plays a large role in shaping that image. Therefore, because the media is so influential, it is critical that the media remain impartial in order to promote fair and balanced elections. Historically, the liberal media has attempted to unfairly affect the outcome of elections in traditionally conservative areas by endorsing ""liberal"" candidates to promote their success and the defeat of ""conservative"" candidates. This practice is blatantly unethical as is having moderators from said media moderate candidate forums. Liberal candidates endorsed by liberal media ensure that taxes will not be lowered or regulations reduced, thus negatively affecting the economic development in keeping with the rural, agricultural character of Carroll County.
","Historically, the School budget is around 50% of the total budget, so the 2019 budget is on par with recent budgets. There should not be a set percentage of the County budget dedicated to public education each year. Rather, I will vote to fund any fully justified responsible budget submitted by the school board. 

Our schools must be safe and properly funded. The latest school shootings in Florida and Maryland were acts of domestic violence. Studies are showing that more than half of all mass shootings are domestic violence related. I will continue to advocate for greater awareness about the abuse of power in our homes, churches, schools and government.  
","No, the current liberal spending policies of four out of five commissioners, including my opponent, has virtually spent all of the County's revenue. There is approximately one million dollars left and spending requests for 15-20 million.

Again, as a Republican Candidate in a Republican primary in accordance with the Republican platform of smaller government and lower taxes, I believe a supermajority is too low a standard and that only a unanimous vote of all five members will suffice to raise taxes. This will guard against the current infestation of RINO's (Republicans In Name Only) and liberals trying to turn Carroll County into some other county. ","I 100% OPPOSE a move from commissioner to charter government. At the local level, charter government centralizes power, costs more  because it creates yet another level of government bureaucracy and raises taxes. Citizens do not want Charter government. This form of government has been voted down six times in the past. It's not the form of government, but the implementation at the local level which often leads to corruption The Commissioner form of Government for Carroll County works best. I have seen first hand what Charter government has done to Taneytown and secondarily to Frederick County. Drugs and high water bills run rampant in Taneytown. I have also testified against the attempted government land grab going on in Frederick County
","Just because the State ""enables"" something doesn't mean the County should follow suit like a herd of lemmings over a cliff. It's the same old ""liberal giberal"" we have a problem, let's grow the government; the problem gets bigger, let's grow the government some more, no Not in a Republican county during a Republican Primary. Let's stop the madness and get back to Faith-based caring communities which will solve social problems better than an ever growing government bureaucracy draining the taxpayers.

Regarding Volunteer Emergency Service Personnel, I support real incentives like tax breaks and tuition discounts for volunteers. Also, we need to increase our recruiting efforts in the high schools. Volunteer fire departments provide an intangible community benefit which helps fight drugs and other social problems that should not be lost through government controlled services.
","Prevention is the key, followed by treatment and enforcement as the three prongs to the drug crisis. You do not solve a drug problem by introducing more drugs into the County. I will continue to lead and to lobby against recreational pot at the local, county and state level to help prevent another generation of opioid addicts. I will further address the epidemic of opioid and other drug abuse by respecting the proper role of God in our families and government.  I will support faith-based initiatives to address the spiritual/emotional needs at the core of alcohol and drug abuse. I will utilize Public Service Announcements to encourage all citizens take free training in the administration of noxalone through Operation Save-A-Life (call 410-876-4800) and to get involved in community wide education efforts. Vote Adelaide for Commissioner on June 26th, because if you don't vote in the Primary, then your vote won't count.
",,,,,,,,,,,,,,
,NO,carroll-county/county-commissioner,4,W. Paul Burkett,Burkett,,,Republican,,,,,,,,,,,,,,"Should county government incentivize growth in the county through zoning and, if so, what types of growth (residential, commercial, high density, etc.) should the county focus on and why? What steps should the county take to comply with state-mandated planning requirements?",What is your vision/strategy for economic development in the county. What incentives do you think are appropriate to lure businesses/employers to Carroll?,"Approximately 47 percent of the county’s proposed fiscal 2019 budget goes toward Carroll County Public Schools. Do you believe this number is appropriate, too low or too high? Should there be a set percentage of the budget dedicated to public education each year?",Do you believe existing revenue sources are sufficient to effectively cover necessary expenditures in Carroll County? Currently a supermajority (4-1 vote) is required to raise taxes. Do you think that is appropriate or should only a simple majority (3-2 vote) be required?,Do you support or oppose a move from the commissioner form of government to charter government?,Enabling legislation in the Maryland General Assembly gives county government authority over fire and emergency services. What do you see as the best path forward for emergency services in Carroll County? ,What do you believe county government’s role should be in combating the opioid epidemic?,Zoning,Development,CCPS funding,Funding,Charter gov,Emergency services,Opioid
,YES,carroll-county/county-commissioner,4,Christopher Eric Bouchat,Bouchat,10/2/1967,Woodbine,Republican,"1-8th grades St. Augustine's Catholic School Howard High School Howard Vocational-Technical School, Welding Catonsville Com. College, Business Admn. UMBC, Political Science","Chairman of Bouchat Industries, inc. set. 1994",http://www.friendsofbouchat.com,christopher.bouchat,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299916/245-e7ffeb086b82a609afde44e74e6e36ea_Campaign_photo.jpg,County needs a balanced mix of all the above to expand its revenue base and satisfy the shortage of housing.,"In order to attract business development, the county needs to be run like a business by a businessman or woman. Expand the Career & Technology Center to supply a modern workforce that includes transitioning students into the Community College.  Tradesman with an A.A. Degrees are going to be our future business development and managers.","The percentage is completely irrelevant, what is relative is what percentage of the population are students in the public school system. How much we spend per child is important and private school should be encouraged through tax credits. Competition makes better public schools.","If you want new and more revenue sources, you need new citizens paying property and income taxes, not raise taxes on existing citizens.  4-1 is wise, end of discussion.","I am a strong advocate of Carroll County declaring its independence from the Democrat controlled General Assembly and writing its our local constitution.  True conservatives support our independence, which make us a stronger county.",Carroll County needs to stay out of any General Assembly control over our emergency services.,"I lost my daughter last year to opioids and will make it my priority to fight the epidemic locally. All epidemics must be identified, isolated and treated.  The ACA, doctors and pharmaceutical industries have caused this mess and must be held accountable in court to finance the cost of resolving the epidemic, since they have profited from it. Big tobacco was successfully sued and it can be done to opiate manufacturers.","Should county government incentivize growth in the county through zoning and, if so, what types of growth (residential, commercial, high density, etc.) should the county focus on and why? What steps should the county take to comply with state-mandated planning requirements?",What is your vision/strategy for economic development in the county. What incentives do you think are appropriate to lure businesses/employers to Carroll?,"Approximately 47 percent of the county’s proposed fiscal 2019 budget goes toward Carroll County Public Schools. Do you believe this number is appropriate, too low or too high? Should there be a set percentage of the budget dedicated to public education each year?",Do you believe existing revenue sources are sufficient to effectively cover necessary expenditures in Carroll County? Currently a supermajority (4-1 vote) is required to raise taxes. Do you think that is appropriate or should only a simple majority (3-2 vote) be required?,Do you support or oppose a move from the commissioner form of government to charter government?,Enabling legislation in the Maryland General Assembly gives county government authority over fire and emergency services. What do you see as the best path forward for emergency services in Carroll County? ,What do you believe county government’s role should be in combating the opioid epidemic?,Zoning,Development,CCPS funding,Funding,Charter gov,Emergency services,Opioid
,YES,carroll-county/county-commissioner,3,Dennis E. Frazier,Frazier,,Westminster,Republican,"BS from Towson, MS from Western Maryland College.","Teacher 38 years, Wrestling coach 40 years, Commissioner 3 years",,dennisfrazier568632,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299916/245-46f542af77e731e924e3a2730ce0b42b_WIN_20180321_15_52_22_Pro.jpg,"Incentivize growth no, but create opportunities for growth yes. We need to adjust zoning districts to allow residential growth. Higher density development should be around public water and sewer. Current zoning basically allows 1 ,2, 4, or 5 houses per acre, depending on the zone. We should also allow houses to be clustered when land dictates it's use. If the land has some feature that does not allow even development, then there should be a provision that allows houses to be clustered on a portion of the land if the total number of houses dose not exceed the zoning.",". Carroll County has had unprecedented economic development over the last three years. We have done so well that we now need more ""shovel ready"" lots for development. The county has put money into the infrastructure in the land and businesses have come. We have a well-educated work force which also attracts business. We just need to keep doing what we've been doing to keep economic development moving forward.","I do not believe there should be a set percentage put aside for the school system. The county puts almost half of its budget into the schools.  We must remember that Carroll County Government is only one funding source for the schools.  The percentage, not just the actual dollars, that the state has contributed to the schools has dropped. When there is a gap between what the schools ask for and the total amount that they are budgeted for, everyone looks to the county to make up the difference. I believe the County has done everything it could do for the schools in the past three years.","Existing revenue sources have worked because of some creative adjustments of fund allocations.  We need to hold the line on revenue, as long as we can deliver services that are expected and needed and pay our bills. I am not in favor of the super majority to pass a tax increase. The same majority that is needed to pass everything else in the county should be sufficient to raise taxes. If people want a super majority for something let's use it to pass the budget, that is the most important thing we do.",". I am in favor of having a charter written and having the people of Carroll County voting on an actual charter. Carroll county needs to explore charter government. While the current Board of Commissioners work well together, we still must run to Annapolis to get many things accomplished. A commissioner form of government is not and cannot be as responsive as charter government.",". We need to help the local volunteer fire companies to recruit and retain volunteers. We put money aside for that purpose in last years budget. However, no matter what we do I believe we are going to transition into a paid force, hopefully far in the future. How we accomplish that transition, needs to be worked out between the county and all fire companies working together. Other counties have made this transition and we are looking at how it was accomplished and what were the best practices used.",.To combat the opioid epidemic we need seamless transitions from detox to rehab to outpatient services. I introduced legislation that would allow a 12 hour hold on people that have overdosed so they can be evaluated and given counseling. Rehab facilities need to be expanded so people seeking rehab can get into a facility that day. When discharged a support system needs to be ready the next day. I also introduced legislation so that when discharged from rehab people will have a program in place that starts the next day. We cannot expect them to go back to their old environment without help and not to relapse.,"Should county government incentivize growth in the county through zoning and, if so, what types of growth (residential, commercial, high density, etc.) should the county focus on and why? What steps should the county take to comply with state-mandated planning requirements?",What is your vision/strategy for economic development in the county. What incentives do you think are appropriate to lure businesses/employers to Carroll?,"Approximately 47 percent of the county’s proposed fiscal 2019 budget goes toward Carroll County Public Schools. Do you believe this number is appropriate, too low or too high? Should there be a set percentage of the budget dedicated to public education each year?",Do you believe existing revenue sources are sufficient to effectively cover necessary expenditures in Carroll County? Currently a supermajority (4-1 vote) is required to raise taxes. Do you think that is appropriate or should only a simple majority (3-2 vote) be required?,Do you support or oppose a move from the commissioner form of government to charter government?,Enabling legislation in the Maryland General Assembly gives county government authority over fire and emergency services. What do you see as the best path forward for emergency services in Carroll County? ,What do you believe county government’s role should be in combating the opioid epidemic?,Zoning,Development,CCPS funding,Funding,Charter gov,Emergency services,Opioid
,NO,carroll-county/county-commissioner,4,Paul Johnson,Johnson,,,Democratic,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,carroll-county/county-commissioner,4,Sean Shaffer,Shaffer,,,Republican,,,https://carrolldist4.neocities.org,,,,,,,,,,,,,,,,,,,,,,,,
,YES,carroll-county/county-commissioner,5,Kathy Fuller,Fuller,,Sykesville,Republican,BA in Political Science and Philosophy  Course work toward an MA  in Human Resources,"I worked in the Commissioners' Office as Policy Analyst and as a Commissioner's assistant, working on virtually every issue that came before the Commissioners, tracking county budgets, ordinances and planning issues, and also state and federal actions that had impact on the county or its residents.  I dealt with a wide variety of constituent issues so I have a unique understanding of the types of concerns and problems county residents have.  Additionally, having moved frequently over 20+ years as a military family I have had various career opportunities as a teacher, tutor, financial counselor, and business manager.",https://www.kathyfuller.org,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299916/52-639db0cad8adf96023233597c06cbf8b_Kathy_Fuller_-_Carroll_Commissioner_D5.jpg,"Zoning should be stable and reliable and not used as a tool to promote the ends of government.    Residents in Carroll County District 5 are worried their communities will be negatively impacted by adverse changes in local zoning.  The county is trying to incentivize growth in this district through zoning and that is bringing unwanted road and school congestion and a loss of the rural community we have enjoyed.  Because county government is manipulating zoning to incentivize growth existing residents are concerned whether their properties will retain value.  Frequent or unpredictable changes in zoning also make development an uncertain prospect and that is a disincentive to invest money in property.  County government should ""incentivize growth"" by making Carroll the place people and businesses want to come and be part of due to lower costs, fewer mandates, less regulation, safer environment, nice communities, stability, etc.     State-mandated planning requirements create many of the problems counties have to deal with.  Carroll County already complies with state-mandated planning requirements, despite the problems they create.","My focus will be on economic growth achieved by low taxes and fewer regulations -- proven vehicles for economic growth.  Government shouldn't be an impediment to business but create an environment in which business can be more profitable and grow more easily. Impediments to growth are burdensome regulations; adverse zoning changes endangering the intended use of property; and lengthy, unpredictable, hard to negotiate, repetitive permitting processes.  The county should constantly monitor for these hindrances and remove them.  Reducing the costs of doing business in Carroll will be incentive for business to locate in Carroll, stay in Carroll and continue to grow.  Also, Carroll County is a bedroom community with an aging population.  Successful development will recognize and support existing demographics rather than try to force changes in the demographics.   Economic development tools that governments employ, like job training and entrepreneur development, can be business opportunities in themselves.  Companies can and will operate these types of businesses if they do not have to compete with government agencies.  The county must be diligent not to use taxpayer dollars to compete with private business in development and training.","The State sets each county's yearly funding obligation called Maintenance of Effort (MoE).   The State of Maryland funds its portion of each school budget based on the number of students in each county school system, with the amount rising as the student population increases and falls with falling population.  The county does not adjust its funding similarly.  In fact, as the State's funding falls, the school asks the county to fund above MoE and pick up the difference in funding from the State.    FY18:  Carroll County government funded $198M for the schools State and Federal governments added $151M to the school system CCPS' total operating school budget is $345M Carroll County's remaining operating funds are $201M to fund all other county services  (Public Safety and Corrections budget $48M, which is the next largest budget funded by the county)  In 2016 three schools closed.   CCPS' total budgets were: $329M in FY16  $335M in FY17  $345M in FY18  proposed FY19 $350M   That was a $20M budget growth over 4 years while 3 schools closed and the student population continues to fall from a high of 28900 students in 2005 to 25,290 students, or back to 1996 levels.   Under MOE, per student funding cannot decrease, so the more the county funds per student each year the higher the floor becomes.  As long as the student population is falling per student costs have less impact, but if the student population starts to rise MOE will force increased spending.","County tax collections are sufficient to cover needed expenditures but no amount is ever sufficient to cover wanted expenditures.  County budgets, like all other budgets in government are growing because government officials fail to distinguish between needs and wants.  Government must live within the means of the taxpayers.  It cannot continue to grow in size and expense while the private sector, which funds it, does not.  A supermajority vote is appropriate for raising taxes.  In a districted county as Carroll is, a unanimous vote to raise taxes would better protect an area of the county which may not have the wealth to support an increase in taxes.  The Commissioner of one less wealthy area may be out voted by Commissioners of the other more wealthy areas who do not care about the impact to residents outside of their voting district.  If Commissioners were elected at large they would all be accountable to all the residents in the county.  As things stand now they are not.","I oppose moving to charter government.   When proponents say charter is local control, taxpayers should hear 'they can raise their own salaries'.  Commissioners cannot.  Hardly the local control voters have in mind.  When proponent say it's separation of executive and legislative power, taxpayers should hear 'it adds an additional layer of bureaucracy on top of what we already have.'   We have 5 Commissioners, but charter has 5 to 9 councilmen and a County Executive plus the Executive's staff.  All to do what's already being done by 5 Commissioners, and was being done by 3 Commissioners just two terms ago.  When proponents of charter say it places checks and balances on government, voters should think about Frederick's Executive who consolidated power in her hands not allowing the council to speak with county employees.  Councilmen must go through her office, so she controls all the power.  This is not good government.  In Commissioner Government the Commissioners share power equally.  That's true checks and balances.   When proponents say that Commissioner Government is messy, voters should know all Commissioner Government decisions must be made in a public forum with discussion of the issues.  Not so in charter.  Open meetings are only required where there are multiple elected officials. County Executive decisions are made without public insight into the decision-making because one elected official has no one to meet with so no open meetings.  Pro-charter folks say government works faster with a County Executive, but greased wheels of government tend to roll over taxpayers.","Carroll County values its volunteer emergency services and all our firemen and women and emergency medical personnel.  Our communities come together every year around the carnivals, bingos and bull roasts that raise the money to help fund our fire halls.  The spirit of service is strong in Carroll County even if the numbers of volunteers are not always quite what we'd like.  That is a common problem across all volunteer organizations.    Incentives in the form of property tax breaks or community college discounts could be offered to volunteers and to local businesses that support employees volunteering.  Stepping up some of the existing benefits could also encourage more volunteers.    The school system should be encouraging service hours be earned in the fire halls. Creative programs that bring high school students into fire halls like the Volunteer/Cadet Program (V.C.P.) should be given more attention and support to encourage participate by high school students.  College tuition support could be earned by high school volunteers in these programs with the support of county funding.  A nationwide research project was conducted by VFIS Consulting to gain insight into why people are not volunteering as firefighters and how to bring more volunteers in.  Their practical conclusions are in a 90 page document that covers everything from advertising to leadership training, from evaluating potential benefits to the need for continuous recruitment. The methods outlined in this document should be fully investigated along with others before Carroll considers any move away from our valuable volunteer fire fighting force.","Many necessary measures to combat this particular drug problem are not within the power of the Commissioner's office, like training doctors to use less addictive medications or alternative pain. Or, bringing hope and a sense of personal value back by reintroducing God so people can better cope with pain.  Necessary things, but outside the scope of Commissioner.      Commissioners can support programs that have been effective, like the D.A.R.E. program, which was funded by the school system until 2013.  The Commissioners can urge the Board of Education to bring this program back into the schools.  The State Police facility in Warfield does D.A.R.E. training, so that should be a relatively easy thing for the schools.  Commissioners should support the Sheriff's Department and the State's Attorney's Office where they can in order to stopping illicit distribution of these drugs.  Accurate accounting and reporting of deaths and overdoses help raise awareness of the depth and breadth of the problem, where incidents are happening and which age groups are impacted so Commissioners can help getting that information more widely distributed.  They can also help the hospital get out information on alternatives to pain medications and what drugs create the greatest risk.  Carroll County government has a cable channel, sends out emails to various subscribers, has moveable billboards to place on roadsides, and regularly sends out bills all of which could hold or transmit informative opioid messages.    Raising awareness of how these opioid addictions start may keep some people away from them to begin with.","Should county government incentivize growth in the county through zoning and, if so, what types of growth (residential, commercial, high density, etc.) should the county focus on and why? What steps should the county take to comply with state-mandated planning requirements?",What is your vision/strategy for economic development in the county. What incentives do you think are appropriate to lure businesses/employers to Carroll?,"Approximately 47 percent of the county’s proposed fiscal 2019 budget goes toward Carroll County Public Schools. Do you believe this number is appropriate, too low or too high? Should there be a set percentage of the budget dedicated to public education each year?",Do you believe existing revenue sources are sufficient to effectively cover necessary expenditures in Carroll County? Currently a supermajority (4-1 vote) is required to raise taxes. Do you think that is appropriate or should only a simple majority (3-2 vote) be required?,Do you support or oppose a move from the commissioner form of government to charter government?,Enabling legislation in the Maryland General Assembly gives county government authority over fire and emergency services. What do you see as the best path forward for emergency services in Carroll County? ,What do you believe county government’s role should be in combating the opioid epidemic?,Zoning,Development,CCPS funding,Funding,Charter gov,Emergency services,Opioid
,YES,carroll-county/county-commissioner,3,Tom Gordon,Gordon,1/17/1976,Westminster,Republican,McDaniel College (Formerly Western Maryland College),Antiques and Collectibles Consultant,http://www.tomgordon.org,TomGordonForCarroll,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299916/52-10ec9038440f67e541b7140f68ef0542_TomGordon-Profile-Candidate.jpg,"Zoning in Carroll should respect the rural and farming character of the County while allowing for business and commercial uses where appropriate.  Zoning should not be used as a tool for the government to incentivize growth, but instead a means to have the welfare, health, and safety of its residents in its best interest.  Zoning should encompass a healthy mix of business/commercial/residential uses while keeping taxes low for Carroll families.  Local and proper zoning, not state-mandated planning will have a positive impact on the county and its residents.","A prosperous economic environment is required and this allows us to use the positive opportunities available to the county such as economic innovation and proper planning. We must create opportunities for our main streets and local businesses. The main street area in any community is the heart of any town and we must work with the municipalities to strengthen them. We need to utilize our area for corporations and manufacturing opportunities with growth opportunities in tourism. This will not only create a stronger economic base, but also potentially increase a younger demographic into the counties population.","The Carroll County Board of Education (BOE) must carry the burden to find a solution for our public school system.  Properly sized schools and redistricting will allow cost-saving flexibility in the budget to make teacher pay more competitive while also providing students with additional opportunities. Once evaluated, the Commissioners will evaluate the budget and discuss the county priorities and what will benefit the county.",The Commissioners have a due diligence to the taxpayers of Carroll County to protect their hard-earned money.  The supermajority ensures the decision to raise taxes is carefully considered and after evaluation of the county budget. The commissioners should be in agreement and take a hard look prior to taking money away from the working families who live in Carroll County.,"The structure of charter government could be beneficial to both the county and the taxpayer if it is properly implemented. Ultimately, such a decision must be decided by the voters by referendum at the polls.","The volunteer model of emergency services has benefitted the county and its taxpayers for many years. As the county grows, additional constraints will be placed upon emergency services.  Enabling legislation will encourage the dialogue of creating a hybrid model of volunteer/paid and will also encourage younger generations to serve their community via incentives and in good faith, while also supporting their families.","The opoid epidemic is one of the most important issues affecting our County today. We need to be educated and equipped with the applicable resources in order to combat and overcome the presence of addiction in our neighborhoods. The county government must coincide its efforts with officials and law enforcement on a Federal, State, and municpal level. We should also consider using resources such as religious groups who can be seen assisting in other areas of the country currently. We must also utilize education programs, drug court and other resources that are available.","Should county government incentivize growth in the county through zoning and, if so, what types of growth (residential, commercial, high density, etc.) should the county focus on and why? What steps should the county take to comply with state-mandated planning requirements?",What is your vision/strategy for economic development in the county. What incentives do you think are appropriate to lure businesses/employers to Carroll?,"Approximately 47 percent of the county’s proposed fiscal 2019 budget goes toward Carroll County Public Schools. Do you believe this number is appropriate, too low or too high? Should there be a set percentage of the budget dedicated to public education each year?",Do you believe existing revenue sources are sufficient to effectively cover necessary expenditures in Carroll County? Currently a supermajority (4-1 vote) is required to raise taxes. Do you think that is appropriate or should only a simple majority (3-2 vote) be required?,Do you support or oppose a move from the commissioner form of government to charter government?,Enabling legislation in the Maryland General Assembly gives county government authority over fire and emergency services. What do you see as the best path forward for emergency services in Carroll County? ,What do you believe county government’s role should be in combating the opioid epidemic?,Zoning,Development,CCPS funding,Funding,Charter gov,Emergency services,Opioid
,YES,carroll-county/county-commissioner,5,Dave Greenwalt,Greenwalt,12/12/1952,Eldersburg,Republican,Graduate of: South Carroll High  Catonsville Community College,Newspaper Publisher & Editor of the Northern News and various other newspapers throughout my career.,,,,,"The concern I have for growth in District 5 is if we can supply an adequate amount of water and sewer. We have two business parks that can still be further developed, but we should do so with the focus on recruiting businesses with high paying professional jobs.","We must change the attitude from throwing so many barriers at potential business owners and corporations to welcoming them to our county. We've  heard that ""Carroll is open for business,"" from elected officials; now is the time to put that slogan to work.",Historically the portion of the budget for public school has been at 50 percent or slightly less and it served us well. I see no reason to alternate from that figure.,"Yes, I believe individuals are taxed enough already and any increase in taxes should only be done by a ""super majority"" of 4-1.","Under our current form of commissioner government very few of our laws or wants go through our state legislature. Therefore, it appears there is no urgent need to change to a charter government. The choice should lie with the citizens through the ballot box.","Historically and gratefully, Carroll County has been served by volunteer firefighters. We owe a great debt of gratitude to the brave men and women of these fire departments. We need to continue to support them in order for them to perform their sworn duty to protect us.","We need to accept that this is a regional problem and begin to organize a coalition of governments with our surrounding county governments (Baltimore, Howard and Frederick). I will work with the Maryland State Police and the Carroll County Sheriff's Department to rid the county of this scourge that threatens our current generation. I want to get the dealers off the street corners and behind bars. At the same time, we need the facilities to treat those who  are addicted and want to be cured.  We need to make education of the danger of this epidemic a mandatory seminar in schools throughout the county. Those in the medical field that over-prescribe these drugs must also be made aware of the danger and be shutdown if they don't come in compliance.  Alternative recreational activities should be provided to our youths. Activities on the recreational fields as well as the arts. We must accept the responsibility of providing the answers to the interests of this generation of young people.","Should county government incentivize growth in the county through zoning and, if so, what types of growth (residential, commercial, high density, etc.) should the county focus on and why? What steps should the county take to comply with state-mandated planning requirements?",What is your vision/strategy for economic development in the county. What incentives do you think are appropriate to lure businesses/employers to Carroll?,"Approximately 47 percent of the county’s proposed fiscal 2019 budget goes toward Carroll County Public Schools. Do you believe this number is appropriate, too low or too high? Should there be a set percentage of the budget dedicated to public education each year?",Do you believe existing revenue sources are sufficient to effectively cover necessary expenditures in Carroll County? Currently a supermajority (4-1 vote) is required to raise taxes. Do you think that is appropriate or should only a simple majority (3-2 vote) be required?,Do you support or oppose a move from the commissioner form of government to charter government?,Enabling legislation in the Maryland General Assembly gives county government authority over fire and emergency services. What do you see as the best path forward for emergency services in Carroll County? ,What do you believe county government’s role should be in combating the opioid epidemic?,Zoning,Development,CCPS funding,Funding,Charter gov,Emergency services,Opioid
,YES,carroll-county/county-commissioner,4,Bret D. Grossnickle,Grossnickle,8/23/1958,Union Bridge,Republican,High School Diploma College classes in Computer Information Systems and Electronics,"24 years in potable water treatment, 12 years as Superintendent of The City of Westminster's Water Treatment System. 16 years as a Councilmember, 8 years as Mayor and 7 years as Planning Commission Member for The Town of Union Bridge.",,,,,"We  should focus on commercial and high density residential growth, while continuing with the Ag Preservation Program. The rural, farming aspect of Carroll County is why people want to live here and one of the reasons why we must protect our farmland. We have excellent ground that requires little to no irrigation to raise crops, thus reducing the drain on our streams and aquifers, which leaves more water for other uses. We need to take a closer look at why we want to grow and how and where we want it to happen. Growth is responsible for many of our problems such as water, wastewater and storm water issues as well as emergency services and safety to name a few. I would like to slow down and take a serious look at where we want to be in the years to come. Planning for long periods of time is difficult because we can't know what the world will be like in 50 or 100 years, but we should still do our best.","We should do our best to attract business to Carroll County, but not at the expense of our residents, our current businesses or the environment. Incentives like tax breaks or public funded infrastructure upgrades should make sense and benefit both parties, not just the company moving in.","Education spending should always be what is needed, no more, no less. Our children are our future and we should give them the best education possible. I would always listen to the council of the School Board, while keeping in mind that funding is finite.",I like the supermajority vote. Raising taxes should always be the absolute last option. I would need time to learn the way money is allocated and where or if cuts and adjustments can be made.,We should stay as we are for now.,"I see paid emergency services  as inevitable in Carroll County, we just have to figure out how to make it work.",We need to support those with more knowledge and experience in the battle with drug addiction. I do believe that stronger penalties for dealing opioids needs to be considered and that everyone should be able to surrender their drugs at any police station and ask for help without fear of prosecution.,"Should county government incentivize growth in the county through zoning and, if so, what types of growth (residential, commercial, high density, etc.) should the county focus on and why? What steps should the county take to comply with state-mandated planning requirements?",What is your vision/strategy for economic development in the county. What incentives do you think are appropriate to lure businesses/employers to Carroll?,"Approximately 47 percent of the county’s proposed fiscal 2019 budget goes toward Carroll County Public Schools. Do you believe this number is appropriate, too low or too high? Should there be a set percentage of the budget dedicated to public education each year?",Do you believe existing revenue sources are sufficient to effectively cover necessary expenditures in Carroll County? Currently a supermajority (4-1 vote) is required to raise taxes. Do you think that is appropriate or should only a simple majority (3-2 vote) be required?,Do you support or oppose a move from the commissioner form of government to charter government?,Enabling legislation in the Maryland General Assembly gives county government authority over fire and emergency services. What do you see as the best path forward for emergency services in Carroll County? ,What do you believe county government’s role should be in combating the opioid epidemic?,Zoning,Development,CCPS funding,Funding,Charter gov,Emergency services,Opioid
