general-only,survey-response,race,district,full-name,last-name,dob,,residence,party,education,background,web,social-fb,social-tw,headshot,a1,a2,a3,a4,a5,a6,q1,q2,q3,q4,q5,q6,sn1,sn2,sn3,sn4,sn5,sn6
,YES,harford-county/county-council,F,Curtis L. Beulah,Beulah,7/15/1956,,Abingdon,Republican,High School graduate with completion of college and business management courses while on Active duty in the military.  I graduated from the Harford Leadership Academy in 2015 and am a 2017 graduate of the Academy of Excellence in Governance through the University of Maryland's School of Public Policy.,"12 years active duty in the U.S. Army.  For the last 30 years, small business owner specializing in financial services, insurance, investments and retirement planning services for individuals, small and medium sized businesses.",http://www.curtisbeulah.com,CurtisBeulah,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/52-d3505a39c53a284d6addc77415a8c2e6_Curtis.Headshot.4.11.18.jpg,"The greatest accomplishments of the Glassman administration are fiscal responsibility with multiple budgets that provided pay increases to County employees, teachers, and law enforcement while not having to raise taxes and maintaining Harford County's AAA Bond rating.  Funding has also been provided for the construction of the new Havre de Grace High School/Middle School.  Additionally, 2500 private sector jobs were added in the last 3 years. I do not believe the Glassman administration had any failings, but I would like to have seen more emphasis placed on economic development and the revitalization of the Rt. 40 corridor in Harford County.","Yes.  Each year for the past 3 budget cycles, the Harford County budget met or exceeded Maintenance of Effort standards for education funding.  The majority of new county revenue in the past 3 years has gone to fund pay increases for law enforcement and teachers.  There is always more that could be accomplished provided we had an open-ended budget, but in reality, that is not an option for most governmental budgets.  There has been much progress in the past 3 ½ years to return funding to our law enforcement and school systems.  We are fortunate to have good leadership and sound fiscal management with the vision to provide these necessities.","Yes.  Approximately 80% of Harford County's population lives in about 18% of its land mass, called the Development Envelope, whose goal is to allow for growth in a very defined area while maintaining our rural heritage.  Harford County has consistently ranked in the top tier of all counties in the United States for the last two decades in preserving its agricultural land.  This is especially noteworthy considering our proximity to the heavily developed I-95 corridor.  Recently, additional areas have been included to study for possible expansion of Harford County's Development Envelope.","The county's efforts to fight the opioid addiction overdoses can be rated as strong and pro-active.  True partnerships between the community, County Government, the Sheriff's Office, the Courts, the Health Department, the Upper Chesapeake Health System and many more have been recognized at the state and national level, but there is much more work to be done as our citizens are dying from this addiction.  Our community focuses are on prevention and education, treatment and enforcement.  I would like to see more education during school classroom hours and in after-school programs to warn our youth of the hazards of opioid usage.  Regular education made available to the general public is a must in keeping us informed.","The Harford County Sheriff's Office has a strong, respectful relationship with the community that is steadily improving.  As a Councilmember for the last 3 ½ years, I have been a witness, and in some cases, a participant to many of the new and innovative strategies the Sheriff's Office employs to better communicate and partner with our citizens.  The Sheriff's Heroin Overdose Prevention Workgroup, Sheriff's Foundation, Diversity Hiring Workgroup, Traffic Safety Advisory Board, and Town Hall events are examples of the openness the Sheriff's Office has with the Harford County community.","As Harford County has grown in population, it has become more difficult to provide ambulance and EMS services on a full-time basis, especially during  normal business hours, when many of our volunteers may be at work.  I am extremely proud of our volunteer fire and EMS personnel and hold them in the highest esteem and do not agree that paid personnel are necessarily more professional as the question states.  The addition of the county-paid personnel has created some conflict between the Glassman administration and the volunteer services.  I believe more discussion and coordination between the Glassman Administration and the volunteer services needs to occur as we work toward how to best serve Harford County and its citizens to the highest level.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,A,Donna Blasdell,Blasdell,7/1/1965,,Edgewood,Republican,"BS  Business Administration Master in Public Administration, in process","I spent many years as a government contractor in the Washington DC area working for agencies such as the FAA, NASA, Department of Defense and the NIH.  Over the last 4 years I have been working as a legislative aide for a Harford County Council Member.",http://southernharfordsvoice.com,DonnaBlasdell.SouthernHarfordsVoice,Donna_DistrictA,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/44-105db2ea7ecc186cbc51999bbc4e1827_DJBlasdell.png,"Mr. Glassman has turned around the fiscal position of Harford County and somewhat improved the situation for the remaining  county employees.  However, he has outsourced many tasks to outside contractors.",I do not feel that Harford County has adequate resources to meets its needs for education or public safety.,Harford County's land use policies have not adequately addressed the needs of the existing communities.,"Harford county has done an adequate job in fighting the opioid issues.  However, additional resources need to obtained to fund treatment and mental health concerns for individuals and families dealing with addiction.","Overall the relationship between the Harford County Sheriff's Office and the communities it serves would be adequate.  In certain areas, such as Edgewood there are tensions and they need to be addressed through better community policing efforts.","This is process which should have been started many years ago.  Harford County's population has grown and how people live and work have changed.  Many times calls may be delayed or unanswered out of certain stations during the day because of staffing issues at the fire houses.  The County needs to involve the volunteer organizations in this process and work out mutually beneficial agreements.  Most counties within the Baltimore and Washington, DC areas have a dual system which work well together to meet the needs of their citizens.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,C,Susan Burdette,Burdette,9/11/1953,,Bel Air,Republican,"BA Towson University Harford Leadership Academy Graduate Fellow, Academy for Excellence in Local Governance Univ. of MD College Park School of Public Policy","Harford County Public Library 35 years Librarian, Marketing, Programming and Community Relations Town Commissioner 4 years Mayor and Chair of the Board, Town of Bel Air, 3 years President Cecil-Harford Chapter Maryland Municipal League Advisory Board Member Non-Partisan MD Chapter of Smart Growth America Local Leaders Council Member and Chair Harford County Council Citizens Budget Advisory Board",http://www.susanburdette.com,citizensforsusanburdette,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/253-202be3876b9581bb693e5f1db42b6b67_SBurdette.jpg,"County Executive Glassman has emphasized fiscal responsibility and balance while stressing good customer service and innovation. He has successfully restored the fund balance and achieved triple-A Bond rating for the County. Harford has a large population of seniors (Bel Air was named the best place to retire in Maryland) and the county administration adopted a tax credit for seniors and retired military. The County has also implemented new apps and modernized permitting for citizens. As Mayor of Bel Air, I know that the citizens of the Town and County have benefitted from strong new partnerships including recent construction of a water impoundment and connecting the Ma & Pa Trail. The Town, County and State Highway Administration continue to work together to address issues related to traffic congestion and pedestrian safety.","Harford should have adequate resources to meet the needs of our evolving county. Public education is a priority because our children are our future. In the past three years, we have increased funding by $15 million for schools. School safety and teacher retention are two of my priorities. The State's Kirwan Commission recently concluded that there must be changes in how teachers are recruited, paid and deployed. Current salaries and working conditions are having a negative impact on recruitment and retention. Regarding school safety, cooperation among State, County and the three Towns in Harford has already begun with the promise to hire more SROs.","Harford County is strong in its land use policies. We strive for an orderly development of land and in an environmentally sound manner. I have participated in creating and implementing the Town of Bel Air's Sustainability Plan since 2013. It has guided Town efforts regarding energy, water, air quality, economic development, and health, cultural and historic resources. We work closely with the Department of Natural Resources Forest Service through our Tree Committee. On a countywide scale, HarfordNEXT vision is a good example of government transparency and citizen involvement with land use policies. Two strategies highlighting land use are 'innovative development emphasizing sustainability' and 'Green Infrastructure Planning'.","The County has dedicated resources in addressing this opioid epidemic but this is a national crisis and will not be conquered quickly. Partnerships have been successful in bringing leaders from Aberdeen Proving Ground, state and local government, business and non-profits together to address these problems. I have attended several summits and had the opportunity to speak with mayors from all 156 Towns and Cities in Maryland to discuss what is working and what is not working. Our Town Police Department is taking a proactive measure to support recovery after they encounter an overdose victim. We are partnering with community agencies to form a team. After following routine overdose protocol, a responding BAPD officer will be able to connect the individual with intervention services and a team with a recovery coach. This team will also link families and significant others to support services. The County Administration plans to open our first 24-Hour Crisis Center to provide access to those in need of crisis treatment and care. To recoup the financial costs for these projects, we will be joining other Towns and Counties in suing the opioid manufacturers and distributors.","The role of law enforcement has dramatically expanded in our society. Terrorism, mass shootings and cybercrime have required the Sheriff's Office to take on more responsibility. The Harford County Sheriff's Office provides prompt and professional service to our residents. The Sheriff's Office has precincts where the officers are a significant part of the community. The Harford County Sheriff's Office sponsors neighborhood watch programs, a Citizens Police Academy, an Explorer Post and Summer Youth Camps in an effort to involve the community","We love our 12 volunteer fire companies in Harford County and the long history of men and women who fought fires and saved lives. Harford County has grown in population while fire companies are struggling to recruit and train members. Executive Glassman has proposed a phased-in transition to develop Harford County Emergency Medical Services to supplement the medical services provided by our volunteer fire companies. We need to respect the existing volunteers and their long time service to our communities but look at paid EMS in order to provide additional medical services to our growing county. Statistics show that the baby boom generation is aging and the number of empty-nester households is expected to double between 2000 and 2020. Retirement communities, assisted living facilities and long-term care units are increasing in Harford County. The need for EMS will naturally increase as the population ages and needs more help and new families move in and will need services.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,NO,harford-county/county-council,F,John Michael Finlayson,Finlayson,,,,Republican,,,,,,,,,,,,,,,,,,,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,NO,harford-county/county-council,C,"Tony ""G"" Giangiordano",Giangiordano,,,,Republican,,,http://www.votetonyg.com,,,,,,,,,,,,,,,,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/council-president,,Samuel T. Gibson III,Gibson,,,Edgewood,Democratic,Graduate of Kenwood High School 70'    Some college; Dundalk Community and Johns Hopkins.,Retired BGE  Serviceman; currently train for S&S Training. Hold Several Gas Fitter & HVAC Licenses.,,,,,"I like to look at what a person has accomplished instead of failings. Nothing is accomplished when you can't work together. Mr. Glassman has done well with funding for Education and the Sheriffs Office. Would have liked to have seen Economic Development back in Belair alongside permits. That would make sense to me, being able to aid development in the permitting process.","I think we have to find a way to increase resources and streamline existing resources to meet our future needs. Our schools and our children are Harford's future. The Harford Sheriffs Office will have to grow and modernize to meet our future needs. I still believe we will need a helicopter in the future for crime prevention, especially in our rural areas. After we sold ""Eagle One"" we waited over an hour for a State Police or Baltimore County helicopter to assist the Sheriff.","I think as a Council we need to revisit Eminent Domain Rights. Harford County Citizens rights have been eroding lately. I would also like to do away with the new 3 minute speaking rule. The Council is the peoples place to voice their concerns, especially with land use and zoning laws. We also need equitable enforcement of land use policies. This has been a major problem.","I rate the County and Sheriffs Office AAA+ on the Opioid fight, it has hit Harford extremely hard. I personally think we should plan more treatment and programs for the addict. We need to treat all Harford Citizens as human beings and with respect. As such, we all need and have a duty to get involved.","While the Harford County Sheriffs Office has a good relationship with the communities it serves, I think it could be better. The Sheriffs could do a better job of stopping and getting to know the community, this would aid also in information. Also would like more transparency in the reporting of crime. The prior administration had more reports in The Aegis and responded to community concerns much better. When better informed, you have the information necessary to inform police and keep your community safe.","I think as the county grows we will need a Professional Organization. As with any change it takes time and effort. We must include our volunteers for their knowledge and commitment. All Parties must be kind and work together for Harford's common good. This is not always easy, but can be achieved.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,A,Dion F. Guthrie,Guthrie,7/31/1937,,Joppa,Democratic,"BA Antioch University, BA amd AA from McKendree School of Religion, AA Dundalk Community College, Academy of Excellence in Local Governance-University of Maryland, Harford County Sheriff's Academy, Harford Leadership Academy-Top 20 graduate of all time.",Served on 18 different Boards and Commissions thruout Harford County and the State of Maryland.,,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/191-299203134629b86277c8bb0a56bcd425_CBB01981-CDED-45C5-AE4E-66B6D08D6689.jpeg,Has done an outstanding job balancing the budget and keeping our triple A bond rating in tact tho he inherited a financial mess.  I would have like a better wage increase for the Teachers and Sheriff's Dept employees.,"No and they need more funding ideas to get that funding.  It is easy to say ""No"" but more diffcult to roll up your sleeves and do the work and make the hard decisions necessary to do the job.",Harford County has a good Agricultural program in place but has made a number of poor decisions where it comes to land use policy's. Much improvement is needed to include rewriting the land use code.  It is out of date.,"On a scale of 0-10 10 being the best, I will give it a 6. However every County is having the same problem and no one has yet come up with the answer.",It has gotten better in recent years however there is still a lot that needs to be done.,It is a good idea but how does he intend to pay for it. These volunteer's need to get paid for there hard work and all the education needed to perform this much needed service.,What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/council-president,,"Frank ""Bud"" Hines",Hines,,,Fallston,Democratic,B.S. in Business Administration from Towson University with Concentrations in Accounting and Finance.,"I have 33 years of IT Technology Experience starting as a systems engineer trainee with EDS to finishing up as a VP.  As the VP of Technology, I led the IT group for a technology start-up that was acquired by ADP and later spun off to a company called  Broadridge Financial Solutions.   I had a team of 126  team members in Maryland,  Massachusetts, New York and India. I ran a budget of over 20M. Our clients were a Who's Who of the top 40 clients in the Retirement Marketing Industry.  When I left Broadridge Financial Solutions, my wife and I started an online site to assist people in recovery from heroin and opioid addiction called Quit The Habit or https://QuitTheHabit.org. I worked with Linda Williams from the Addictions Resource Council. She put me in touch with Joe Ryan from the Harford County Office of Drug Control Policy. They sent my wife and me to a five-day recovery coach academy training to help us hone the language on our site.",https://voteforbudhines.com,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/191-6c5351c135e6f8ca3d9491c6ac0094b4_Bud_Hines_small.jpg,"Barry Glassman and his team are to be commended for their successes in fighting the opioid crisis. They are at the forefront of fighting this disease and are a role model for the rest of the country.  I think Mr. Glassman inherited a large number of fiscal problems that he has just now been able to turn around. He is actively working to raise the pay of teachers, law enforcement, and other critical Harford County employees.  I am a Democrat and I am a fan of Barry Glassman. He is friendly, approachable,  has good common sense and is a fiscally smart steward of the finances of this county.","No. Even though I am a fan of Mr. Glassman's, I believe, as does he, that we need to do better with our funding of Education.   Our teachers are our heroes. They do the most important work that can be done for any of us - they teach our children and provide them with an education that can make or break them the rest of their lives.  Yet, our teachers do not make the equivalent of other professional salaries. What is worse, many of the teachers in Harford County are leaving and getting jobs as teachers in neighboring counties. We have to act swiftly to keep our teachers. We must raise their pay, fund their pensions and provide them with the resources they need to do their jobs.   Our members of law enforcement have been dealing with low salaries compared to adjoining counties. We must raise their pay to keep them here in Harford County. We can not afford a brain drain from our teachers or our law enforcement officers.","I am running for the office of Harford County Council President because I have been disappointed with the way Harford County handles zoning and the lack of support it gives is citizens in regards to zoning issues.   When David Craig was our County Executive, I had a fight with my next door neighbor who happens to be Jones Subaru. Jones acquired the former Hinder Car dealership that sat dormant for several years. Jones tore down trees between our property (buffer area and part of a utility easement), expanded their building, and tripled the size of their parking lot. All of this was done without filing a single permit. They were ""grandfathered in""??? Then they erected stadium lighting that per our lighting expert (used in court)  stated the lighting was the equivalent of 3 football/baseball stadiums.  We contacted our councilman for District B, Joe Woods, initial concern but then no help. Contacted Harford County Zoning. No help. They are grandfathered in.....  Contacted Jones Subaru. No help. They laughed at us. Contacted BG&E - no help. We have a contract with Jones.  Contacted David Craig who was driving a brand new Jones truck - no help.   It took 2 years and 60k in legal fees to get some of that lighting subdued.   I think that Harford County Zoning meetings should be open and transparent and filmed. No decisions should be made behind closed doors.  All of the affected community groups must be represented and present for the decision- making process.","I think the county is doing a superb job of fighting the opioid epidemic. They are activiely training recovery coaches, holding a variety to training seminars, conducting plays, etc.  I would like to see more people who are trained in recovery, be required to provide some type of volunteer service to give back to the community. Most of the people who work in this field are just too emotionally drained to give more at the end of their day.  So, I encourage training people outside of the field.  What else can Harford County do? Provide training to students (do not give this task to teachers) on how to cope with the terrible issues we face in life such as being ugly, called fat, stupid, etc. How to deal with rejection and life's ills. This is what causes people to turn to drugs. We must teach coping skiils. This will help with addiction and violence.   I am going to be self serving here. I was helped with a 40 plus year smokeless tobacco addiction by an online site called http://killthecan.org. I started Quit The Habit to provide the same type of recovery support to help people quitting heroin and opioid addiction. I want my site to be the hub for people in recovery, anywhere in the nation to come and get and give support.   We should train more recovery coaches and get them to my site to help the public.  It is self funded and free.","I think that the Sherff's Office is held in high regard.  I met one of the captains in their force at a recent Edgewood town meeting and was quite impressed, even though he was from New York:). My parents are from New York.  If other captains visit their local town halls and are open to discussions with members in the community as this captain did, then I believe the county is well served. He said contact him any time for any reason. He agreed to serve as escalation point. I was very impressed.   I would like to see less serious treatment of youth with drug offenses. I think sending them to jail or juvenile facilities will make things worse and lead them to a life of crime and drugs. I would like to find opportunities for them to get training, a big brother or sister to guide them to a better path. Many of these youth may have been raised in troubled households.... Let's see if we can get them an apprenticeship or some other opportunites.  We have an opportunity to turn these youth around...","After seeing this question, I researched this topic.  I would encourage Harford County to not move the volunteer fire and emergency medical services out-of-the-way but instead, to incorporate them into their plan.  Make these wonderful volunteers who have so nobly served this county full time Harford County employees and phase in the assumption of these fire deparmentments and EMSs in a thoughtful and caring way.  Only after including our volunteers, should we then seek to expand and hire new staff.  But, we must take care of our volunteers first.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,F,Amy Altmann Jahnigen,Jahnigen,5/18/1977,,Bel Air,Republican,I grew up in Harford County and graduated from C Milton Wright High School.  From there I matriculated to UMBC where I graduated with honors as a student-athlete with a double major in Economics and Computer Information Systems and a minor in Finance.,I am a Senior Technology Engineer with FICO.  I have been with them for over 20 years.  I started as an intern in college and then joined full time after I graduated.  I was selected to represent FICO at the Women in Technology Summit in Silicon Valley in 2016.  I have also presented at conferences in Miami and Las Vegas speaking on best practices in Business Intelligence and Data Analytics.,http://www.amyjahnigen.com,VoteAmyJahnigen,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/191-3f232602e1c2f43ffbc1b2fdaf3b181e_IMG_2210ed-_fav.jpg,"I commend the Glassman Administration for all their hard work and efforts to make Harford County a great place to live, work and raise a family.  I am glad that the administration was able to give long overdue pay raises to teachers.  I also am glad that his administration has worked to develop online communication tools and apps for convenient access to information.   Some areas of focus I would like to see are: Advocacy for more state funding for Harford County Public Schools, we are ranked 23 out of 24 public school systems in Maryland in terms of per pupil funding, and with the pending closing of Union Memorial Hospital in Havre de Grace, we need to advocate for a full service hospital replacement.   Our county continues to grow and would greatly benefit from two full service hospitals to care for our residents.","No, we need more funding to keep good teachers and police officers.   We are losing great teachers to surrounding counties because the pay is better.  We need to continue to increase teacher salaries to keep our amazing Harford County Teachers.  We need to grow our law enforcement in the county to help combat the issues with the Opioid Crisis. Sheriff Gahler and his team have done an amazing job keeping our county safe, but with more funding they could do more to ensure safety for everyone.   We also have a lot of aging school facilities and we need to work to update them to be safer and more up to date for our youth.","In some cases yes, in others no. Harford County is a great mix of thriving communities and agricultural land; we need to keep it that way.  I was born and raised in Harford County and have always appreciated its agricultural heritage.  Development and growth are good for the county but we have to be proactive about land use instead of reactive and we need to make sure when Community Input meetings are held that the community input is taken into account when making approval decisions.  I am a proponent of SMART Development.  By that I mean, we need to build in the required infrastructure prior to developing. This means creating the necessary roads and improvements to minimize impacts on traffic, safety and access to local businesses during and after development.   The county needs to look at alternative ways to keep roads open while doing construction so that building something like a roundabout does not cause undue hardship to small businesses while construction is going on.  Cecil and Baltimore Counties have done this successfully, Harford needs to follow suit.",It is sad to see the overdoses and death numbers rise.  I think awareness is important and making sure the stigma of addiction is removed – it crosses all socio-economic groups.  We need to stop the cycle of despair.  Public awareness and drug take back days need to increase and we need to do more to teach our youth about the dangers of opioids and other gateway drugs.,"Sheriff Gahler and his staff have done a fantastic job of protecting Harford County.  I will never forget the day the 2 deputies that gave the ultimate sacrifice protecting local citizens in the Abingdon Panera, as it was my twins 8th birthday.  Those men are heroes as are the men and women that put on a uniform every day to protect our county.  I think there is a very healthy relationship and one of mutual respect between the Sheriff's Office and the communities they serve. We need to continue to assess day to day the needs of our citizens and keep them safe.","The county has two paid ambulances in service and I think that it is a fantastic idea to have paid paramedics in the county. We have trained, dedicated citizens that are going to other municipalities to serve so that they can support their family by getting a salary and benefits.  Having paid positions will keep the talent here in the county and will be a great partnership with the volunteers that we have.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,NO,harford-county/county-council,A,Andre V. Johnson,Johnson,,,,Democratic,,,,ElectAndreJohnson,ElectAVJ,,,,,,,,,,,,,,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
