weight,directory,title,shortTitle,filename,menu,type
1,"content/governor","Maryland Governor’s Race","Governor / Lt. Governor",_index.md,"fedState",
2,"content/comptroller",Comptroller,Comptroller,_index.md,"fedState",
3,"content/attorney-general",Attorney General,Attorney General,_index.md,"fedState",
4,"content/us-senate",U.S. Senate,U.S. Senator,_index.md,"fedState",
5,"content/circuit-court",Maryland Judge of the Circuit Court,Circuit Court Judge,_index.md,"fedState",
1,"content/local/baltimore-city",Baltimore City State’s Attorney,Baltimore City,_index.md,"local",
2,"content/local/anne-arundel",Anne Arundel,Anne Arundel,_index.md,"local",local-list
3,"content/local/baltimore-county",Baltimore County,Baltimore County,_index.md,"local",local-list
4,"content/local/harford",Harford,Harford,_index.md,"local",local-list
4,"content/local/howard",Howard,Howard,_index.md,"local",local-list
5,"content/local/carroll",Carroll,Carroll,_index.md,"local",local-list
